-- Query: 26741
-- SQL: WITH RECURSIVE top_suppliers AS (
    SELECT s.s_suppkey, s.s_name, SUM(ps.ps_supplycost) AS total_supplycost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey
    GROUP BY s.s_s...
-- Execution time: 13.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_73	10.00	0	root		time:12.7s, loops:1, RU:69658.431167	tpch_sf40.supplier.s_name, Column#131:desc	0 Bytes	0 Bytes
└─Projection_76	10.00	0	root		time:12.7s, loops:1, Concurrency:OFF	tpch_sf40.supplier.s_name, tpch_sf40.customer.c_name, Column#131	2.64 KB	N/A
  └─HashJoin_77	10.00	0	root		time:12.7s, loops:1, build_hash_table:{total:9.7s, fetch:9.7s, build:812.9µs}, probe:{concurrency:2, total:25.3s, max:12.6s, probe:25.8µs, fetch and wait:25.3s}	inner join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)]	66.0 KB	0 Bytes
    ├─TopN_204(Build)	10.00	10	root		time:9.7s, loops:2	Column#131:desc, offset:0, count:10	1.21 KB	0 Bytes
    │ └─TableReader_340	10.00	40	root		time:9.7s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_339	3.11 KB	N/A
    │   └─ExchangeSender_339	10.00	40	mpp[tiflash]		tiflash_task:{proc max:9.66s, min:9.6s, avg: 9.63s, p80:9.66s, p95:9.66s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │     └─TopN_338	10.00	40	mpp[tiflash]		tiflash_task:{proc max:9.66s, min:9.6s, avg: 9.63s, p80:9.66s, p95:9.66s, iters:4, tasks:2, threads:4}	Column#131:desc, offset:0, count:10	N/A	N/A
    │       └─Projection_337	6000000.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.66s, min:9.6s, avg: 9.63s, p80:9.66s, p95:9.66s, iters:512, tasks:2, threads:4}	Column#131, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name	N/A	N/A
    │         └─Projection_334	6000000.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.66s, min:9.6s, avg: 9.63s, p80:9.66s, p95:9.66s, iters:512, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#131	N/A	N/A
    │           └─HashJoin_333	6000000.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.66s, min:9.6s, avg: 9.63s, p80:9.66s, p95:9.66s, iters:512, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_custkey)], stream_count: 2	N/A	N/A
    │             ├─ExchangeReceiver_224(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:1.36s, min:1.29s, avg: 1.32s, p80:1.36s, p95:1.36s, iters:364, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1187ms}	stream_count: 2	N/A	N/A
    │             │ └─ExchangeSender_223	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:1.2s, min:0s, avg: 599.8ms, p80:1.2s, p95:1.2s, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
    │             │   └─TableFullScan_222	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:1.1s, min:0s, avg: 549.8ms, p80:1.1s, p95:1.1s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1099ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:594ms, max_local_stream:1099ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:77ms}}	keep order:false	N/A	N/A
    │             └─Projection_241(Probe)	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.52s, min:9.44s, avg: 9.48s, p80:9.52s, p95:9.52s, iters:512, tasks:2, threads:4}	Column#131, tpch_sf40.customer.c_custkey	N/A	N/A
    │               └─HashAgg_225	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.52s, min:9.44s, avg: 9.48s, p80:9.52s, p95:9.52s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#131, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey	N/A	N/A
    │                 └─Projection_237	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:5.02s, min:4.92s, avg: 4.97s, p80:5.02s, p95:5.02s, iters:1872, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_custkey	N/A	N/A
    │                   └─HashJoin_229	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:5.02s, min:4.92s, avg: 4.97s, p80:5.02s, p95:5.02s, iters:1872, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
    │                     ├─ExchangeReceiver_233(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:1.14s, min:1.13s, avg: 1.14s, p80:1.14s, p95:1.14s, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 698ms}	stream_count: 2	N/A	N/A
