-- Query: 26744
-- SQL: WITH RegionSales AS (
    SELECT 
        r.r_name AS region_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales
    FROM 
        region r
    JOIN 
        nation n ON r.r_regio...
-- Execution time: 89.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_105	24000000.00	19999545	root		time:1m28.8s, loops:19532, RU:198346.608281	tpch_sf40.region.r_name, Column#241	2.25 GB	0 Bytes
└─Projection_109	24000000.00	19999545	root		time:1m20.6s, loops:19532, Concurrency:2	tpch_sf40.region.r_name, tpch_sf40.customer.c_name, Column#231, Column#241	215.5 KB	N/A
  └─HashJoin_112	24000000.00	19999545	root		time:1m10.4s, loops:19532, build_hash_table:{total:1m4.1s, fetch:1m4.1s, build:11.3µs}, probe:{concurrency:2, total:2m41.6s, max:1m20.8s, probe:9.7s, fetch and wait:2m31.9s}	CARTESIAN inner join	25.7 KB	0 Bytes
    ├─TableReader_568(Build)	5.00	5	root		time:1m4.1s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_567	7.20 KB	N/A
    │ └─ExchangeSender_567	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m4s, min:1m4s, avg: 1m4s, p80:1m4s, p95:1m4s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   └─Projection_563	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m4s, min:1m4s, avg: 1m4s, p80:1m4s, p95:1m4s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#243	N/A	N/A
    │     └─HashAgg_564	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m4s, min:1m4s, avg: 1m4s, p80:1m4s, p95:1m4s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, funcs:sum(Column#259)->Column#243, stream_count: 2	N/A	N/A
    │       └─ExchangeReceiver_566	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m4s, min:1m4s, avg: 1m4s, p80:1m4s, p95:1m4s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
    │         └─ExchangeSender_565	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m4s, min:0s, avg: 32s, p80:1m4s, p95:1m4s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
    │           └─HashAgg_369	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m4s, min:0s, avg: 32s, p80:1m4s, p95:1m4s, iters:2, tasks:2, threads:2}	group by:tpch_sf40.region.r_name, funcs:count(1)->Column#259	N/A	N/A
    │             └─Projection_212	978348338.84	960049160	mpp[tiflash]		tiflash_task:{proc max:1m2.7s, min:0s, avg: 31.3s, p80:1m2.7s, p95:1m2.7s, iters:29596, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.lineitem.l_orderkey	N/A	N/A
    │               └─HashJoin_211	978348338.84	960049160	mpp[tiflash]		tiflash_task:{proc max:1m2.7s, min:0s, avg: 31.3s, p80:1m2.7s, p95:1m2.7s, iters:29596, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
    │                 ├─ExchangeReceiver_204(Build)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:13s, min:0s, avg: 6.48s, p80:13s, p95:13s, iters:3616, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2179ms}	stream_count: 2	N/A	N/A
    │                 │ └─ExchangeSender_203	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:14s, min:0s, avg: 6.98s, p80:14s, p95:14s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
    │                 │   └─TableFullScan_202	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{proc max:13.9s, min:0s, avg: 6.95s, p80:13.9s, p95:13.9s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3283ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 19/15=1.266667}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:9ms, min_local_stream:0ms, max_local_stream:13897ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:4128ms}}	keep order:false	N/A	N/A
    │                 └─ExchangeReceiver_201(Probe)	971506683.68	960049160	mpp[tiflash]		tiflash_task:{proc max:56.5s, min:0s, avg: 28.3s, p80:56.5s, p95:56.5s, iters:29596, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 13969ms, pipeline_queue_wait: 34871ms}		N/A	N/A
    │                   └─ExchangeSender_200	971506683.68	960049160	mpp[tiflash]		tiflash_task:{proc max:1m4s, min:0s, avg: 32s, p80:1m4s, p95:1m4s, iters:18313, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
    │                     └─Projection_199	971506683.68	960049160	mpp[tiflash]		tiflash_task:{proc max:56.8s, min:0s, avg: 28.4s, p80:56.8s, p95:56.8s, iters:18313, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_partkey	N/A	N/A
    │                       └─HashJoin_170	971506683.68	960049160	mpp[tiflash]		tiflash_task:{proc max:56.8s, min:0s, avg: 28.4s, p80:56.8s, p95:56.8s, iters:18313, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2	N/A	N/A
    │                         ├─ExchangeReceiver_195(Build)	32238899.44	32000000	mpp[tiflash]		tiflash_task:{proc max:11.1s, min:0s, avg: 5.57s, p80:11.1s, p95:11.1s, iters:2574, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1704ms}	stream_count: 2	N/A	N/A
    │                         │ └─ExchangeSender_194	32238899.44	32000000	mpp[tiflash]		tiflash_task:{proc max:11.3s, min:0s, avg: 5.67s, p80:11.3s, p95:11.3s, iters:1016, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
    │                         │   └─Projection_193	32238899.44	32000000	mpp[tiflash]		tiflash_task:{proc max:11.1s, min:0s, avg: 5.57s, p80:11.1s, p95:11.1s, iters:1016, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_suppkey	N/A	N/A
    │                         │     └─HashJoin_171	32238899.44	32000000	mpp[tiflash]		tiflash_task:{proc max:11.1s, min:0s, avg: 5.57s, p80:11.1s, p95:11.1s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
    │                         │       ├─ExchangeReceiver_192(Build)	8000000.00	16000000	mpp[tiflash]		tiflash_task:{proc max:5.44s, min:0s, avg: 2.72s, p80:5.44s, p95:5.44s, iters:252, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 37ms}		N/A	N/A
    │                         │       │ └─ExchangeSender_191	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:5.74s, min:0s, avg: 2.87s, p80:5.74s, p95:5.74s, iters:126, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │                         │       │   └─TableFullScan_190	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:5.73s, min:0s, avg: 2.87s, p80:5.73s, p95:5.73s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1213ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:21ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:119ms, min_local_stream:2518ms, max_local_stream:5723ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:3387ms}}	keep order:false	N/A	N/A
