-- Query: 26746
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_nationkey,
        RANK() OVER (PARTITION BY n.n_nationkey ORDER BY SUM(ps.ps_supplycost) DESC) AS supplier_ran...
-- Execution time: 18.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_85	25.00	80	root		time:17.4s, loops:2, RU:46361.249201	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#140:desc	17.2 KB	0 Bytes
└─TableReader_399	25.00	80	root		time:17.4s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_398	8.57 KB	N/A
  └─ExchangeSender_398	25.00	80	mpp[tiflash]		tiflash_task:{proc max:17.3s, min:17.1s, avg: 17.2s, p80:17.3s, p95:17.3s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_88	25.00	80	mpp[tiflash]		tiflash_task:{proc max:17.3s, min:17.1s, avg: 17.2s, p80:17.3s, p95:17.3s, iters:1024, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, tpch_sf40.customer.c_name, Column#139, Column#140	N/A	N/A
      └─Projection_397	25.00	80	mpp[tiflash]		tiflash_task:{proc max:17.3s, min:17.1s, avg: 17.2s, p80:17.3s, p95:17.3s, iters:1024, tasks:2, threads:4}	tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#139, Column#140, tpch_sf40.customer.c_name	N/A	N/A
        └─Projection_394	25.00	80	mpp[tiflash]		tiflash_task:{proc max:17.3s, min:17.1s, avg: 17.2s, p80:17.3s, p95:17.3s, iters:1024, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, Column#139, Column#140, tpch_sf40.customer.c_name, tpch_sf40.customer.c_custkey	N/A	N/A
          └─HashJoin_393	25.00	80	mpp[tiflash]		tiflash_task:{proc max:17.3s, min:17.1s, avg: 17.2s, p80:17.3s, p95:17.3s, iters:1024, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_nationkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
            ├─ExchangeReceiver_137(Build)	25.00	250	mpp[tiflash]		tiflash_task:{proc max:3.53s, min:3.5s, avg: 3.51s, p80:3.53s, p95:3.53s, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 67ms}		N/A	N/A
            │ └─ExchangeSender_136	25.00	125	mpp[tiflash]		tiflash_task:{proc max:3.48s, min:0s, avg: 1.74s, p80:3.48s, p95:3.48s, iters:8, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │   └─Projection_135	25.00	125	mpp[tiflash]		tiflash_task:{proc max:3.48s, min:0s, avg: 1.74s, p80:3.48s, p95:3.48s, iters:8, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey, tpch_sf40.nation.n_nationkey	N/A	N/A
