-- Query: 26752
-- SQL: WITH SupplierParts AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_nationkey,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost
    FROM 
        supplier s
    J...
-- Execution time: 13.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_86	25.00	25	root		time:13.3s, loops:2, RU:35698.395528	tpch_sf40.nation.n_name, Column#173:desc	4.56 KB	0 Bytes
└─TableReader_472	25.00	25	root		time:13.3s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_471	9.27 KB	N/A
  └─ExchangeSender_471	25.00	25	mpp[tiflash]		tiflash_task:{proc max:13.3s, min:13.3s, avg: 13.3s, p80:13.3s, p95:13.3s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_89	25.00	25	mpp[tiflash]		tiflash_task:{proc max:13.3s, min:13.3s, avg: 13.3s, p80:13.3s, p95:13.3s, iters:4, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#132, Column#133, Column#173, Column#174	N/A	N/A
      └─HashJoin_469	25.00	25	mpp[tiflash]		tiflash_task:{proc max:13.3s, min:13.3s, avg: 13.3s, p80:13.3s, p95:13.3s, iters:4, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_name, tpch_sf40.nation.n_name)]	N/A	N/A
        ├─ExchangeReceiver_149(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:10.3s, min:10.2s, avg: 10.3s, p80:10.3s, p95:10.3s, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 86ms}		N/A	N/A
        │ └─ExchangeSender_148	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.1s, p80:10.2s, p95:10.2s, iters:4, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
        │   └─Projection_144	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.1s, p80:10.2s, p95:10.2s, iters:4, tasks:2, threads:4}	Column#132, Column#133, tpch_sf40.nation.n_name	N/A	N/A
        │     └─HashAgg_145	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.1s, p80:10.2s, p95:10.2s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#132, funcs:sum(Column#179)->Column#133, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
        │       └─ExchangeReceiver_147	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.1s, p80:10.2s, p95:10.2s, iters:50, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 70ms}	stream_count: 2	N/A	N/A
        │         └─ExchangeSender_146	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.08s, p80:10.2s, p95:10.2s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
        │           └─HashAgg_94	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.08s, p80:10.2s, p95:10.2s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#131)->Column#179	N/A	N/A
        │             └─Projection_143	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:0s, avg: 5.07s, p80:10.1s, p95:10.1s, iters:12, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, Column#131	N/A	N/A
