-- Query: 26761
-- SQL: WITH RegionalSales AS (
    SELECT 
        n.n_name AS nation_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        COUNT(DISTINCT o.o_orderkey) AS order_count
    FROM 
 ...
-- Execution time: 77.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_77	20.00	5	root		time:1m16.1s, loops:2, RU:166346.842234	Column#170	2.84 KB	0 Bytes
└─TableReader_329	20.00	5	root		time:1m16.1s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_328	7.45 KB	N/A
  └─ExchangeSender_328	20.00	5	mpp[tiflash]		tiflash_task:{time:1m16.1s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_80	20.00	5	mpp[tiflash]		tiflash_task:{time:1m16.1s, loops:1, threads:2}	tpch_sf40.nation.n_name, Column#167, Column#168, Column#170	N/A	N/A
      └─Selection_327	20.00	5	mpp[tiflash]		tiflash_task:{time:1m16.1s, loops:1, threads:2}	le(Column#170, 5)	N/A	N/A
        └─Window_324	25.00	25	mpp[tiflash]		tiflash_task:{time:1m16.1s, loops:1, threads:2}	rank()->Column#170 over(order by Column#167 desc)	N/A	N/A
          └─Sort_134	25.00	25	mpp[tiflash]		tiflash_task:{time:1m16.1s, loops:1, threads:1}	Column#167:desc	N/A	N/A
            └─ExchangeReceiver_133	25.00	25	mpp[tiflash]		tiflash_task:{time:1m16.1s, loops:1, threads:2}, tiflash_wait: {pipeline_queue_wait: 10ms}		N/A	N/A
              └─ExchangeSender_132	25.00	25	mpp[tiflash]		tiflash_task:{time:1m16.1s, loops:4, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
                └─Projection_128	25.00	25	mpp[tiflash]		tiflash_task:{time:1m16.1s, loops:4, threads:4}	Column#167, Column#168, tpch_sf40.nation.n_name	N/A	N/A
                  └─HashAgg_129	25.00	25	mpp[tiflash]		tiflash_task:{time:1m16.1s, loops:4, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#171)->Column#167, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#168, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
