-- Query: 26763
-- SQL: WITH RevenueByNation AS (
    SELECT 
        n.n_name AS nation_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue
    FROM 
        lineitem l
    JOIN 
        orders o ON l...
-- Execution time: 11.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_81	10.00	10	root		time:11.3s, loops:2, RU:106375.097158	Column#162:desc, Column#154:desc	3.17 KB	0 Bytes
└─TopN_87	10.00	10	root		time:11.3s, loops:2	Column#154:desc, offset:0, count:10	1.55 KB	0 Bytes
  └─TableReader_374	10.00	40	root		time:11.3s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_373	7.42 KB	N/A
    └─ExchangeSender_373	10.00	40	mpp[tiflash]		tiflash_task:{proc max:11.3s, min:11.3s, avg: 11.3s, p80:11.3s, p95:11.3s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_372	10.00	40	mpp[tiflash]		tiflash_task:{proc max:11.3s, min:11.3s, avg: 11.3s, p80:11.3s, p95:11.3s, iters:4, tasks:2, threads:4}	Column#154:desc, offset:0, count:10	N/A	N/A
        └─Projection_371	160000000.00	200000000	mpp[tiflash]		tiflash_task:{proc max:7.16s, min:7.16s, avg: 7.16s, p80:7.16s, p95:7.16s, iters:3176, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#154, Column#162	N/A	N/A
          └─HashJoin_368	160000000.00	200000000	mpp[tiflash]		tiflash_task:{proc max:7.16s, min:7.16s, avg: 7.16s, p80:7.16s, p95:7.16s, iters:3176, tasks:2, threads:4}	CARTESIAN inner join	N/A	N/A
            ├─ExchangeReceiver_155(Build)	20.00	50	mpp[tiflash]		tiflash_task:{proc max:6.66s, min:6.66s, avg: 6.66s, p80:6.66s, p95:6.66s, iters:4, tasks:2, threads:4}		N/A	N/A
            │ └─ExchangeSender_154	20.00	25	mpp[tiflash]		tiflash_task:{proc max:6.66s, min:0s, avg: 3.33s, p80:6.66s, p95:6.66s, iters:4, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │   └─Selection_120	20.00	25	mpp[tiflash]		tiflash_task:{proc max:6.66s, min:0s, avg: 3.33s, p80:6.66s, p95:6.66s, iters:4, tasks:2, threads:4}	gt(Column#154, 1000000)	N/A	N/A
            │     └─Projection_150	25.00	25	mpp[tiflash]		tiflash_task:{proc max:6.66s, min:0s, avg: 3.33s, p80:6.66s, p95:6.66s, iters:4, tasks:2, threads:4}	Column#154	N/A	N/A
            │       └─HashAgg_151	25.00	25	mpp[tiflash]		tiflash_task:{proc max:6.66s, min:0s, avg: 3.33s, p80:6.66s, p95:6.66s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#165)->Column#154, stream_count: 2	N/A	N/A
            │         └─ExchangeReceiver_153	25.00	50	mpp[tiflash]		tiflash_task:{proc max:6.66s, min:0s, avg: 3.33s, p80:6.66s, p95:6.66s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            │           └─ExchangeSender_152	25.00	50	mpp[tiflash]		tiflash_task:{proc max:6.66s, min:0s, avg: 3.33s, p80:6.66s, p95:6.66s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
            │             └─HashAgg_122	25.00	50	mpp[tiflash]		tiflash_task:{proc max:6.66s, min:0s, avg: 3.33s, p80:6.66s, p95:6.66s, iters:2, tasks:2, threads:2}	group by:Column#171, funcs:sum(Column#170)->Column#165	N/A	N/A
            │               └─Projection_378	36744408.46	36410247	mpp[tiflash]		tiflash_task:{proc max:6.56s, min:0s, avg: 3.28s, p80:6.56s, p95:6.56s, iters:7750, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#170, tpch_sf40.nation.n_name->Column#171	N/A	N/A
            │                 └─Projection_149	36744408.46	36410247	mpp[tiflash]		tiflash_task:{proc max:6.54s, min:0s, avg: 3.27s, p80:6.54s, p95:6.54s, iters:7750, tasks:2, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.nation.n_name	N/A	N/A
            │                   └─Projection_145	36744408.46	36410247	mpp[tiflash]		tiflash_task:{proc max:6.54s, min:0s, avg: 3.27s, p80:6.54s, p95:6.54s, iters:7750, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
            │                     └─HashJoin_125	36744408.46	36410247	mpp[tiflash]		tiflash_task:{proc max:6.54s, min:0s, avg: 3.27s, p80:6.54s, p95:6.54s, iters:7750, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
            │                       ├─ExchangeReceiver_141(Build)	9121396.00	9103238	mpp[tiflash]		tiflash_task:{proc max:2.71s, min:0s, avg: 1.35s, p80:2.71s, p95:2.71s, iters:904, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1419ms}	stream_count: 2	N/A	N/A
            │                       │ └─ExchangeSender_140	9121396.00	9103238	mpp[tiflash]		tiflash_task:{proc max:2.99s, min:0s, avg: 1.49s, p80:2.99s, p95:2.99s, iters:902, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
            │                       │   └─Projection_139	9121396.00	9103238	mpp[tiflash]		tiflash_task:{proc max:2.96s, min:0s, avg: 1.48s, p80:2.96s, p95:2.96s, iters:902, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_custkey	N/A	N/A
            │                       │     └─HashJoin_126	9121396.00	9103238	mpp[tiflash]		tiflash_task:{proc max:2.96s, min:0s, avg: 1.48s, p80:2.96s, p95:2.96s, iters:902, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
            │                       │       ├─ExchangeReceiver_134(Build)	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:824.5ms, min:0s, avg: 412.3ms, p80:824.5ms, p95:824.5ms, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 762ms}	stream_count: 2	N/A	N/A
            │                       │       │ └─ExchangeSender_133	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:646.6ms, min:0s, avg: 323.3ms, p80:646.6ms, p95:646.6ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
            │                       │       │   └─Projection_132	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:634.6ms, min:0s, avg: 317.3ms, p80:634.6ms, p95:634.6ms, iters:95, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.customer.c_custkey	N/A	N/A
            │                       │       │     └─HashJoin_127	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:634.6ms, min:0s, avg: 317.3ms, p80:634.6ms, p95:634.6ms, iters:95, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
            │                       │       │       ├─ExchangeReceiver_130(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:27.6ms, min:0s, avg: 13.8ms, p80:27.6ms, p95:27.6ms, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 15ms}		N/A	N/A
