-- Query: 26765
-- SQL: SELECT 
    n.n_name AS nation_name,
    r.r_name AS region_name,
    SUM(ps.ps_availqty) AS total_available_quantity,
    AVG(s.s_acctbal) AS average_supplier_account_balance,
    COUNT(DISTINCT o.o_...
-- Execution time: 22.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_33	10.00	10	root		time:22s, loops:2, RU:127650.042180, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#54, Column#55, Column#56, Column#57	5.82 KB	N/A
└─TopN_37	10.00	10	root		time:22s, loops:2	Column#57:desc, Column#55:desc, offset:0, count:10	5.91 KB	0 Bytes
  └─TableReader_311	10.00	25	root		time:22s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_310	7.72 KB	N/A
    └─ExchangeSender_310	10.00	25	mpp[tiflash]		tiflash_task:{proc max:22s, min:22s, avg: 22s, p80:22s, p95:22s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_309	10.00	25	mpp[tiflash]		tiflash_task:{proc max:22s, min:22s, avg: 22s, p80:22s, p95:22s, iters:4, tasks:2, threads:4}	Column#57:desc, Column#55:desc, offset:0, count:10	N/A	N/A
        └─Projection_305	25.00	25	mpp[tiflash]		tiflash_task:{proc max:22s, min:22s, avg: 22s, p80:22s, p95:22s, iters:4, tasks:2, threads:4}	Column#54, div(Column#55, cast(case(eq(Column#75, 0), 1, Column#75), decimal(20,0) BINARY))->Column#55, Column#56, Column#57, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
          └─HashAgg_306	25.00	25	mpp[tiflash]		tiflash_task:{proc max:22s, min:22s, avg: 22s, p80:22s, p95:22s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:sum(Column#76)->Column#54, funcs:sum(Column#77)->Column#75, funcs:sum(Column#78)->Column#55, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#56, funcs:sum(Column#79)->Column#57, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_308	25.00	27127025	mpp[tiflash]		tiflash_task:{proc max:21.7s, min:21.7s, avg: 21.7s, p80:21.7s, p95:21.7s, iters:2048, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2665ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_307	25.00	27127025	mpp[tiflash]		tiflash_task:{proc max:22s, min:0s, avg: 11s, p80:22s, p95:22s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_303	25.00	27127025	mpp[tiflash]		tiflash_task:{proc max:21.2s, min:0s, avg: 10.6s, p80:21.2s, p95:21.2s, iters:512, tasks:2, threads:4}	group by:Column#86, Column#87, Column#88, funcs:sum(Column#82)->Column#76, funcs:count(Column#83)->Column#77, funcs:sum(Column#84)->Column#78, funcs:sum(Column#85)->Column#79	N/A	N/A
                  └─Projection_312	141231096.83	31165760	mpp[tiflash]		tiflash_task:{proc max:16.5s, min:0s, avg: 8.23s, p80:16.5s, p95:16.5s, iters:7074, tasks:2, threads:4}	cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)->Column#82, tpch_sf40.supplier.s_acctbal->Column#83, tpch_sf40.supplier.s_acctbal->Column#84, mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#85, tpch_sf40.nation.n_name->Column#86, tpch_sf40.region.r_name->Column#87, tpch_sf40.orders.o_orderkey->Column#88	N/A	N/A
                    └─Projection_292	141231096.83	31165760	mpp[tiflash]		tiflash_task:{proc max:16.4s, min:0s, avg: 8.21s, p80:16.4s, p95:16.4s, iters:7074, tasks:2, threads:4}	tpch_sf40.partsupp.ps_availqty, tpch_sf40.supplier.s_acctbal, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey	N/A	N/A
                      └─Projection_282	141231096.83	31165760	mpp[tiflash]		tiflash_task:{proc max:16.4s, min:0s, avg: 8.21s, p80:16.4s, p95:16.4s, iters:7074, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.partsupp.ps_availqty, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                        └─HashJoin_281	141231096.83	31165760	mpp[tiflash]		tiflash_task:{proc max:16.4s, min:0s, avg: 8.21s, p80:16.4s, p95:16.4s, iters:7074, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                          ├─ExchangeReceiver_100(Build)	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:3.16s, min:0s, avg: 1.58s, p80:3.16s, p95:3.16s, iters:907, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2447ms}	stream_count: 2	N/A	N/A
                          │ └─ExchangeSender_99	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:3.42s, min:0s, avg: 1.71s, p80:3.42s, p95:3.42s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                          │   └─TableFullScan_97	9201749.90	9102526	mpp[tiflash]	table:o	tiflash_task:{proc max:3.41s, min:0s, avg: 1.7s, p80:3.41s, p95:3.41s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3011ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:1ms, tot_build_inputstream:44ms, min_local_stream:0ms, max_local_stream:3404ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:2ms, tot_read:1245ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1995-01-01), lt(tpch_sf40.orders.o_orderdate, 1996-01-01), keep order:false	N/A	N/A
                          └─ExchangeReceiver_96(Probe)	140243458.35	138924776	mpp[tiflash]		tiflash_task:{proc max:15s, min:0s, avg: 7.5s, p80:15s, p95:15s, iters:7074, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 3457ms, pipeline_queue_wait: 10393ms}		N/A	N/A
                            └─ExchangeSender_95	140243458.35	138924776	mpp[tiflash]		tiflash_task:{proc max:18.7s, min:0s, avg: 9.34s, p80:18.7s, p95:18.7s, iters:3542, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
                              └─Projection_94	140243458.35	138924776	mpp[tiflash]		tiflash_task:{proc max:16.6s, min:0s, avg: 8.29s, p80:16.6s, p95:16.6s, iters:3542, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.partsupp.ps_availqty, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_partkey	N/A	N/A
                                └─HashJoin_64	140243458.35	138924776	mpp[tiflash]		tiflash_task:{proc max:16.6s, min:0s, avg: 8.28s, p80:16.6s, p95:16.6s, iters:3542, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2	N/A	N/A
                                  ├─ExchangeReceiver_89(Build)	32238898.43	32000000	mpp[tiflash]		tiflash_task:{proc max:2.65s, min:0s, avg: 1.32s, p80:2.65s, p95:2.65s, iters:2600, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1784ms}	stream_count: 2	N/A	N/A
                                  │ └─ExchangeSender_88	32238898.43	32000000	mpp[tiflash]		tiflash_task:{proc max:2.83s, min:0s, avg: 1.41s, p80:2.83s, p95:2.83s, iters:1016, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
                                  │   └─Projection_87	32238898.43	32000000	mpp[tiflash]		tiflash_task:{proc max:2.36s, min:0s, avg: 1.18s, p80:2.36s, p95:2.36s, iters:1016, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.partsupp.ps_availqty, tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_suppkey	N/A	N/A
                                  │     └─HashJoin_65	32238898.43	32000000	mpp[tiflash]		tiflash_task:{proc max:2.36s, min:0s, avg: 1.18s, p80:2.36s, p95:2.36s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
