-- Query: 26767
-- SQL: WITH RegionalTotals AS (
    SELECT
        r.r_name AS region_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue
    FROM
        region r
    JOIN
        nation n ON r.r_reg...
-- Execution time: 43.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_84	4.00	5	root		time:43.5s, loops:2, RU:153781.599045	Column#171:desc	2.47 KB	0 Bytes
└─TableReader_366	4.00	5	root		time:43.5s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_365	8.20 KB	N/A
  └─ExchangeSender_365	4.00	5	mpp[tiflash]		tiflash_task:{time:43.5s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_87	4.00	5	mpp[tiflash]		tiflash_task:{time:43.5s, loops:1, threads:2}	tpch_sf40.region.r_name, Column#171, Column#173	N/A	N/A
      └─Selection_364	4.00	5	mpp[tiflash]		tiflash_task:{time:43.5s, loops:1, threads:2}	le(Column#173, 5)	N/A	N/A
        └─Window_361	5.00	5	mpp[tiflash]		tiflash_task:{time:43.5s, loops:1, threads:2}	rank()->Column#173 over(order by Column#171 desc)	N/A	N/A
          └─Sort_145	5.00	5	mpp[tiflash]		tiflash_task:{time:43.5s, loops:1, threads:1}	Column#171:desc	N/A	N/A
            └─ExchangeReceiver_144	5.00	5	mpp[tiflash]		tiflash_task:{time:43.5s, loops:2, threads:2}		N/A	N/A
              └─ExchangeSender_143	5.00	5	mpp[tiflash]		tiflash_task:{time:43.5s, loops:4, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
                └─Projection_139	5.00	5	mpp[tiflash]		tiflash_task:{time:43.5s, loops:4, threads:4}	Column#171, tpch_sf40.region.r_name	N/A	N/A
                  └─HashAgg_140	5.00	5	mpp[tiflash]		tiflash_task:{time:43.5s, loops:4, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#174)->Column#171, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
                    └─ExchangeReceiver_142	5.00	10	mpp[tiflash]		tiflash_task:{time:43.5s, loops:4, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}	stream_count: 2	N/A	N/A
                      └─ExchangeSender_141	5.00	10	mpp[tiflash]		tiflash_task:{time:43.5s, loops:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                        └─HashAgg_93	5.00	10	mpp[tiflash]		tiflash_task:{time:43.5s, loops:2, threads:2}	group by:Column#184, funcs:sum(Column#183)->Column#174	N/A	N/A
