-- Query: 26772
-- SQL: WITH SalesData AS (
    SELECT 
        n.n_name AS nation_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        COUNT(DISTINCT o.o_orderkey) AS order_count
    FROM 
     ...
-- Execution time: 17.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_361	4.00	5	root		time:17.8s, loops:2, RU:119840.310159, Concurrency:OFF	tpch_sf40.region.r_name, Column#164, Column#165, Column#167	3.80 KB	N/A
└─Window_363	4.00	5	root		time:17.8s, loops:2	rank()->Column#167 over(order by Column#164 desc)	N/A	N/A
  └─Sort_354	4.00	5	root		time:17.8s, loops:2	Column#164:desc	3.50 KB	0 Bytes
    └─Selection_155	4.00	5	root		time:17.8s, loops:2	gt(Column#164, 1000000)	3.43 KB	N/A
      └─HashAgg_159	5.00	5	root		time:17.8s, loops:4, partial_worker:{wall_time:17.791972989s, concurrency:2, task_num:1, tot_wait:17.791910073s, tot_exec:15.683µs, tot_time:35.583866851s, max:17.79193444s, p95:17.79193444s}, final_worker:{wall_time:17.792005351s, concurrency:2, task_num:2, tot_wait:1.303µs, tot_exec:33ns, tot_time:35.583907412s, max:17.791966395s, p95:17.791966395s}	group by:Column#194, funcs:sum(Column#192)->Column#164, funcs:sum(Column#193)->Column#165, funcs:firstrow(Column#194)->tpch_sf40.region.r_name	8.20 KB	0 Bytes
        └─Projection_365	25.00	25	root		time:17.8s, loops:2, Concurrency:OFF	Column#162->Column#192, cast(Column#163, decimal(20,0) BINARY)->Column#193, tpch_sf40.region.r_name->Column#194	2.39 KB	N/A
          └─HashJoin_165	25.00	25	root		time:17.8s, loops:2, build_hash_table:{total:166.3µs, fetch:159.9µs, build:6.45µs}, probe:{concurrency:2, total:35.6s, max:17.8s, probe:28.6µs, fetch and wait:35.6s}	inner join, equal:[eq(tpch_sf40.nation.n_name, tpch_sf40.nation.n_name)]	2.46 KB	0 Bytes
            ├─HashJoin_194(Build)	25.00	25	root		time:143.8µs, loops:2, build_hash_table:{total:87.3µs, fetch:82.9µs, build:4.43µs}, probe:{concurrency:2, total:73.6µs, max:51.5µs, probe:15.2µs, fetch and wait:58.4µs}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	25.7 KB	0 Bytes
            │ ├─TableReader_206(Build)	5.00	5	root		time:70.2µs, loops:2, cop_task: {num: 1, max: 1.85ms, proc_keys: 5, tot_proc: 1.3ms, tot_wait: 305.9µs, copr_cache_hit_ratio: 0.00, build_task_duration: 6.1µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:1.84ms}}	data:TableFullScan_205	415 Bytes	N/A
            │ │ └─TableFullScan_205	5.00	5	cop[tikv]	table:r	tikv_task:{time:1ms, loops:1}, scan_detail: {total_process_keys: 5, total_process_keys_size: 559, total_keys: 6, get_snapshot_time: 287.3µs, rocksdb: {key_skipped_count: 5, block: {cache_hit_count: 3, read_count: 5, read_byte: 1.96 KB, read_time: 8.11µs}}}, time_detail: {total_process_time: 1.3ms, total_suspend_time: 7.52µs, total_wait_time: 305.9µs, total_kv_read_wall_time: 1ms, tikv_wall_time: 1.69ms}	keep order:false	N/A	N/A
