-- Query: 26778
-- SQL: WITH RankedSuppliers AS (
    SELECT
        s.s_suppkey,
        s.s_name,
        n.n_name AS supplier_nation,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        RANK() OVE...
-- Execution time: 405.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_67	5.00	4	root		time:6m44.6s, loops:2, RU:390786.496434	Column#129:desc	4.23 KB	0 Bytes
└─Projection_69	5.00	4	root		time:6m44.6s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#128, Column#129, Column#130, Column#131	4.17 KB	N/A
  └─HashAgg_71	5.00	4	root		time:6m44.6s, loops:2	group by:tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#128, funcs:sum(Column#119)->Column#129, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#130, funcs:max(Column#77)->Column#131, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	5.32 MB	0 Bytes
    └─Projection_75	25.00	753393	root		time:6m44.5s, loops:737, Concurrency:OFF	tpch_sf40.supplier.s_suppkey, Column#77, Column#77, Column#119, tpch_sf40.orders.o_orderkey, tpch_sf40.region.r_name	243.4 KB	N/A
      └─HashJoin_79	25.00	753393	root		time:6m44.5s, loops:737, build_hash_table:{total:3.17s, fetch:3.15s, build:18.5ms}, probe:{concurrency:2, total:13m29.3s, max:6m44.6s, probe:453.9ms, fetch and wait:13m28.8s}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.orders.o_custkey)]	36.8 MB	0 Bytes
        ├─TableReader_153(Build)	25.00	400000	root		time:3.15s, loops:394, cop_task: {num: 11, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_152	5.14 MB	N/A
        │ └─ExchangeSender_152	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.13s, min:3.08s, avg: 3.1s, p80:3.13s, p95:3.13s, iters:9, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │   └─Projection_151	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.09s, min:3.06s, avg: 3.07s, p80:3.09s, p95:3.09s, iters:9, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, Column#77, tpch_sf40.supplier.s_suppkey, tpch_sf40.nation.n_regionkey	N/A	N/A
        │     └─HashJoin_148	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.09s, min:3.06s, avg: 3.07s, p80:3.09s, p95:3.09s, iters:9, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_name, tpch_sf40.nation.n_name)]	N/A	N/A
        │       ├─ExchangeReceiver_88(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:61.6ms, min:38.3ms, avg: 50ms, p80:61.6ms, p95:61.6ms, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 23ms}		N/A	N/A
        │       │ └─ExchangeSender_87	25.00	25	mpp[tiflash]		tiflash_task:{proc max:37.3ms, min:0s, avg: 18.6ms, p80:37.3ms, p95:37.3ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
        │       │   └─Projection_86	25.00	25	mpp[tiflash]		tiflash_task:{proc max:37.3ms, min:0s, avg: 18.6ms, p80:37.3ms, p95:37.3ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
        │       │     └─HashJoin_81	25.00	25	mpp[tiflash]		tiflash_task:{proc max:37.3ms, min:0s, avg: 18.6ms, p80:37.3ms, p95:37.3ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
        │       │       ├─ExchangeReceiver_84(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:36.3ms, min:0s, avg: 18.1ms, p80:36.3ms, p95:36.3ms, iters:1, tasks:2, threads:2}		N/A	N/A
        │       │       │ └─ExchangeSender_83	5.00	5	mpp[tiflash]		tiflash_task:{proc max:6.01ms, min:0s, avg: 3.01ms, p80:6.01ms, p95:6.01ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
        │       │       │   └─TableFullScan_82	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:6.01ms, min:0s, avg: 3.01ms, p80:6.01ms, p95:6.01ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 3ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:5ms, max_local_stream:5ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
        │       │       └─TableFullScan_85(Probe)	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:37.3ms, min:0s, avg: 18.6ms, p80:37.3ms, p95:37.3ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 5ms, pipeline_queue_wait: 1ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:5ms, max_local_stream:6ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
        │       └─Window_89(Probe)	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.08s, min:3.06s, avg: 3.07s, p80:3.08s, p95:3.08s, iters:9, tasks:2, threads:4}	rank()->Column#79 over(partition by tpch_sf40.nation.n_regionkey order by Column#77 desc), stream_count: 2	N/A	N/A
        │         └─Sort_120	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.08s, min:3.05s, avg: 3.07s, p80:3.08s, p95:3.08s, iters:9, tasks:2, threads:4}	tpch_sf40.nation.n_regionkey, Column#77:desc, stream_count: 2	N/A	N/A
        │           └─ExchangeReceiver_119	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3s, min:3s, avg: 3s, p80:3s, p95:3s, iters:36, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 38ms, pipeline_queue_wait: 38ms}	stream_count: 2	N/A	N/A
        │             └─ExchangeSender_118	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.02s, min:0s, avg: 1.51s, p80:3.02s, p95:3.02s, iters:516, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_regionkey, collate: binary], stream_count: 2	N/A	N/A
        │               └─Projection_114	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.01s, min:0s, avg: 1.51s, p80:3.01s, p95:3.01s, iters:516, tasks:2, threads:4}	Column#77, tpch_sf40.supplier.s_suppkey, tpch_sf40.nation.n_name, tpch_sf40.nation.n_regionkey	N/A	N/A
        │                 └─HashAgg_115	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.01s, min:0s, avg: 1.51s, p80:3.01s, p95:3.01s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.nation.n_regionkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#132)->Column#77, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.nation.n_regionkey)->tpch_sf40.nation.n_regionkey, stream_count: 2	N/A	N/A
        │                   └─ExchangeReceiver_117	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.99s, min:0s, avg: 1.49s, p80:2.99s, p95:2.99s, iters:48, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 79ms}	stream_count: 2	N/A	N/A
        │                     └─ExchangeSender_116	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.95s, min:0s, avg: 1.48s, p80:2.95s, p95:2.95s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.nation.n_regionkey, collate: binary], stream_count: 2	N/A	N/A
        │                       └─HashAgg_91	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.94s, min:0s, avg: 1.47s, p80:2.94s, p95:2.94s, iters:512, tasks:2, threads:4}	group by:Column#163, Column#164, Column#165, Column#166, funcs:sum(Column#162)->Column#132	N/A	N/A
        │                         └─Projection_417	32096532.46	32000000	mpp[tiflash]		tiflash_task:{proc max:1.07s, min:0s, avg: 533.8ms, p80:1.07s, p95:1.07s, iters:1016, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#162, tpch_sf40.supplier.s_suppkey->Column#163, tpch_sf40.supplier.s_name->Column#164, tpch_sf40.nation.n_name->Column#165, tpch_sf40.nation.n_regionkey->Column#166	N/A	N/A
        │                           └─Projection_113	32096532.46	32000000	mpp[tiflash]		tiflash_task:{proc max:1.04s, min:0s, avg: 518.3ms, p80:1.04s, p95:1.04s, iters:1016, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.nation.n_regionkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
        │                             └─Projection_106	32096532.46	32000000	mpp[tiflash]		tiflash_task:{proc max:1.04s, min:0s, avg: 518.3ms, p80:1.04s, p95:1.04s, iters:1016, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.nation.n_regionkey, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.partsupp.ps_suppkey	N/A	N/A
        │                               └─HashJoin_94	32096532.46	32000000	mpp[tiflash]		tiflash_task:{proc max:1.04s, min:0s, avg: 517.8ms, p80:1.04s, p95:1.04s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2	N/A	N/A
        │                                 ├─ExchangeReceiver_102(Build)	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:52.5ms, min:0s, avg: 26.3ms, p80:52.5ms, p95:52.5ms, iters:28, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 20ms}	stream_count: 2	N/A	N/A
        │                                 │ └─ExchangeSender_101	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:56.9ms, min:0s, avg: 28.4ms, p80:56.9ms, p95:56.9ms, iters:7, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
        │                                 │   └─Projection_100	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:46.9ms, min:0s, avg: 23.4ms, p80:46.9ms, p95:46.9ms, iters:7, tasks:2, threads:2}	tpch_sf40.nation.n_name, tpch_sf40.nation.n_regionkey, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name	N/A	N/A
