-- Query: 26788
-- SQL: WITH RankedOrders AS (
    SELECT
        o.o_orderkey,
        o.o_orderdate,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
        RANK() OVER (PARTITION BY o.o_orderpriority...
-- Execution time: 34.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_65	10.00	10	root		time:34.2s, loops:2, RU:164824.341207, Concurrency:OFF	tpch_sf40.part.p_name, tpch_sf40.supplier.s_name, Column#102	4.30 KB	N/A
└─TopN_69	10.00	10	root		time:34.2s, loops:2	Column#102:desc, tpch_sf40.supplier.s_name, offset:0, count:10	2.03 KB	0 Bytes
  └─TableReader_335	10.00	30	root		time:34.2s, loops:3, cop_task: {num: 5, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_334	8.12 KB	N/A
    └─ExchangeSender_334	10.00	30	mpp[tiflash]		tiflash_task:{proc max:34.2s, min:34.2s, avg: 34.2s, p80:34.2s, p95:34.2s, iters:3, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_333	10.00	30	mpp[tiflash]		tiflash_task:{proc max:34.2s, min:34.2s, avg: 34.2s, p80:34.2s, p95:34.2s, iters:3, tasks:2, threads:4}	Column#102:desc, tpch_sf40.supplier.s_name, offset:0, count:10	N/A	N/A
        └─Projection_332	71963891.13	1125	mpp[tiflash]		tiflash_task:{proc max:34.2s, min:34.2s, avg: 34.2s, p80:34.2s, p95:34.2s, iters:3, tasks:2, threads:4}	Column#102, Column#102, tpch_sf40.supplier.s_name, tpch_sf40.part.p_name	N/A	N/A
          └─Projection_329	71963891.13	1125	mpp[tiflash]		tiflash_task:{proc max:34.2s, min:34.2s, avg: 34.2s, p80:34.2s, p95:34.2s, iters:3, tasks:2, threads:4}	tpch_sf40.supplier.s_name, Column#102, tpch_sf40.part.p_name, tpch_sf40.lineitem.l_partkey	N/A	N/A
            └─HashJoin_328	71963891.13	1125	mpp[tiflash]		tiflash_task:{proc max:34.2s, min:34.2s, avg: 34.2s, p80:34.2s, p95:34.2s, iters:3, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)], stream_count: 2	N/A	N/A
              ├─ExchangeReceiver_141(Build)	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:755.4ms, min:518.5ms, avg: 637ms, p80:755.4ms, p95:755.4ms, iters:484, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 545ms}	stream_count: 2	N/A	N/A
              │ └─ExchangeSender_140	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:583.3ms, min:0s, avg: 291.6ms, p80:583.3ms, p95:583.3ms, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
              │   └─TableFullScan_139	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:419.3ms, min:0s, avg: 209.6ms, p80:419.3ms, p95:419.3ms, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 401ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:19ms, min_local_stream:16ms, max_local_stream:418ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:519ms}}	keep order:false	N/A	N/A
              └─ExchangeReceiver_138(Probe)	71646098.59	1125	mpp[tiflash]		tiflash_task:{proc max:34.2s, min:34.2s, avg: 34.2s, p80:34.2s, p95:34.2s, iters:3, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 860ms, pipeline_queue_wait: 198ms}		N/A	N/A
                └─ExchangeSender_137	71646098.59	1125	mpp[tiflash]		tiflash_task:{proc max:34.2s, min:0s, avg: 17.1s, p80:34.2s, p95:34.2s, iters:29596, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary]	N/A	N/A
                  └─Projection_136	71646098.59	1125	mpp[tiflash]		tiflash_task:{proc max:34.2s, min:0s, avg: 17.1s, p80:34.2s, p95:34.2s, iters:29596, tasks:2, threads:4}	tpch_sf40.supplier.s_name, tpch_sf40.lineitem.l_partkey, Column#102, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                    └─HashJoin_88	71646098.59	1125	mpp[tiflash]		tiflash_task:{proc max:34.2s, min:0s, avg: 17.1s, p80:34.2s, p95:34.2s, iters:29596, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                      ├─ExchangeReceiver_135(Build)	5400495.04	50	mpp[tiflash]		tiflash_task:{proc max:9.27s, min:0s, avg: 4.64s, p80:9.27s, p95:9.27s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3ms}	stream_count: 2	N/A	N/A
                      │ └─ExchangeSender_134	5400495.04	50	mpp[tiflash]		tiflash_task:{proc max:9.27s, min:0s, avg: 4.64s, p80:9.27s, p95:9.27s, iters:5, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                      │   └─Selection_106	5400495.04	50	mpp[tiflash]		tiflash_task:{proc max:9.27s, min:0s, avg: 4.64s, p80:9.27s, p95:9.27s, iters:5, tasks:2, threads:4}	le(Column#104, 10), stream_count: 2	N/A	N/A
