-- Query: 26791
-- SQL: WITH OrderSummary AS (
    SELECT 
        o.o_orderkey,
        c.c_mktsegment,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS revenue,
        COUNT(DISTINCT l.l_suppkey) AS supplier_count
 ...
-- Execution time: 449.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_71	100.00	0	root		time:7m29.2s, loops:1, RU:422785.704759, Concurrency:OFF	tpch_sf40.orders.o_orderkey, tpch_sf40.customer.c_mktsegment, Column#150, Column#168, minus(Column#150, Column#168)->Column#169	10.7 KB	N/A
└─Limit_74	100.00	0	root		time:7m29.2s, loops:1	offset:0, count:100	N/A	N/A
  └─Projection_76	100.00	0	root		time:7m29.2s, loops:1, Concurrency:OFF	Column#150, tpch_sf40.orders.o_orderkey, tpch_sf40.customer.c_mktsegment, Column#168	3.80 KB	N/A
    └─HashJoin_80	100.00	0	root		time:7m29.2s, loops:1, build_hash_table:{total:1.95s, fetch:1.87s, build:81.4ms}, probe:{concurrency:2, total:14m58.4s, max:7m29.2s, probe:15.5s, fetch and wait:14m42.9s}	inner join, equal:[eq(tpch_sf40.partsupp.ps_suppkey, Column#151)], other cond:gt(minus(Column#150, Column#168), 0)	46.7 MB	0 Bytes
      ├─TableReader_349(Build)	398784.00	400000	root		time:1.87s, loops:483, cop_task: {num: 196, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_348	3.07 MB	N/A
      │ └─ExchangeSender_348	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.98s, min:1.92s, avg: 1.95s, p80:1.98s, p95:1.98s, iters:770, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Projection_344	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.87s, min:1.86s, avg: 1.86s, p80:1.87s, p95:1.87s, iters:770, tasks:2, threads:4}	Column#168, tpch_sf40.partsupp.ps_suppkey	N/A	N/A
      │     └─HashAgg_345	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.87s, min:1.86s, avg: 1.86s, p80:1.87s, p95:1.87s, iters:770, tasks:2, threads:4}	group by:tpch_sf40.partsupp.ps_suppkey, funcs:sum(Column#189)->Column#168, funcs:firstrow(tpch_sf40.partsupp.ps_suppkey)->tpch_sf40.partsupp.ps_suppkey, stream_count: 2	N/A	N/A
      │       └─ExchangeReceiver_347	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:1.84s, min:1.84s, avg: 1.84s, p80:1.84s, p95:1.84s, iters:88, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 48ms}	stream_count: 2	N/A	N/A
      │         └─ExchangeSender_346	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:1.84s, min:0s, avg: 918.2ms, p80:1.84s, p95:1.84s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_suppkey, collate: binary], stream_count: 2	N/A	N/A
      │           └─HashAgg_337	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:1.8s, min:0s, avg: 900.7ms, p80:1.8s, p95:1.8s, iters:512, tasks:2, threads:4}	group by:Column#201, funcs:sum(Column#200)->Column#189	N/A	N/A
      │             └─Projection_395	32141937.80	32000000	mpp[tiflash]		tiflash_task:{proc max:1.32s, min:0s, avg: 659.7ms, p80:1.32s, p95:1.32s, iters:509, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#200, tpch_sf40.partsupp.ps_suppkey->Column#201	N/A	N/A
      │               └─Projection_92	32141937.80	32000000	mpp[tiflash]		tiflash_task:{proc max:1.29s, min:0s, avg: 646.2ms, p80:1.29s, p95:1.29s, iters:509, tasks:2, threads:4}	tpch_sf40.partsupp.ps_suppkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
      │                 └─HashJoin_87	32141937.80	32000000	mpp[tiflash]		tiflash_task:{proc max:1.29s, min:0s, avg: 646.2ms, p80:1.29s, p95:1.29s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)]	N/A	N/A
      │                   ├─ExchangeReceiver_90(Build)	8000000.00	16000000	mpp[tiflash]		tiflash_task:{proc max:337.1ms, min:0s, avg: 168.6ms, p80:337.1ms, p95:337.1ms, iters:252, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 220ms}		N/A	N/A
      │                   │ └─ExchangeSender_89	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:673.5ms, min:0s, avg: 336.8ms, p80:673.5ms, p95:673.5ms, iters:126, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
      │                   │   └─TableFullScan_88	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:666.5ms, min:0s, avg: 333.3ms, p80:666.5ms, p95:666.5ms, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 639ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:16ms, min_local_stream:0ms, max_local_stream:665ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:65ms}}	keep order:false	N/A	N/A
