-- Query: 26793
-- SQL: WITH RevenueBySupplier AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue
    FROM 
        supplier s
    JOIN 
        par...
-- Execution time: 70.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
TopN_249	0.80	1	root		time:1m9.4s, loops:2, RU:199135.877645	Column#92:desc, offset:0, count:10	1024 Bytes	0 Bytes
└─HashJoin_255	0.80	1	root		time:1m9.4s, loops:3, build_hash_table:{total:1m9.2s, fetch:1m9.2s, build:10µs}, probe:{concurrency:2, total:2m18.8s, max:1m9.4s, probe:116ms, fetch and wait:2m18.7s}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.customer.c_custkey)]	2.21 KB	0 Bytes
  ├─HashJoin_256(Build)	0.80	1	root		time:1m9.2s, loops:2, build_hash_table:{total:1m9.2s, fetch:1m9.2s, build:11.1µs}, probe:{concurrency:2, total:2m18.4s, max:1m9.2s, probe:34.3ms, fetch and wait:2m18.4s}	inner join, equal:[eq(Column#68, Column#72)]	41.5 KB	0 Bytes
  │ ├─Selection_262(Build)	0.80	1	root		time:1m9.2s, loops:2	not(isnull(Column#72))	233 Bytes	N/A
  │ │ └─MaxOneRow_263	1.00	1	root		time:1m9.2s, loops:3		N/A	N/A
  │ │   └─StreamAgg_265	1.00	1	root		time:1m9.2s, loops:2	funcs:max(Column#71)->Column#72	2.45 KB	N/A
  │ │     └─TopN_283	1.00	1	root		time:1m9.2s, loops:2	Column#71:desc, offset:0, count:1	2.40 KB	0 Bytes
  │ │       └─Selection_273	255221.76	400000	root		time:1m9.2s, loops:393	not(isnull(Column#71))	76.0 KB	N/A
  │ │         └─CTEFullScan_275	319027.20	400000	root	CTE:revenuebysupplier	time:1m9.2s, loops:538	data:CTE_0	N/A	N/A
  │ └─Selection_258(Probe)	255221.76	400000	root		time:1m9.2s, loops:392	not(isnull(Column#68)), not(isnull(tpch_sf40.supplier.s_suppkey))	76.0 KB	N/A
  │   └─CTEFullScan_260	319027.20	400000	root	CTE:revenuebysupplier AS s	time:1m9.2s, loops:538	data:CTE_0	57.4 MB	0 Bytes
  └─TableReader_361(Probe)	6000000.00	3999929	root		time:4.63s, loops:4097, cop_task: {num: 514, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_360	247.7 KB	N/A
    └─ExchangeSender_360	6000000.00	3999929	mpp[tiflash]		tiflash_task:{proc max:4.63s, min:4.63s, avg: 4.63s, p80:4.63s, p95:4.63s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Projection_356	6000000.00	3999929	mpp[tiflash]		tiflash_task:{proc max:4.56s, min:4.55s, avg: 4.55s, p80:4.56s, p95:4.56s, iters:1024, tasks:2, threads:4}	Column#92, tpch_sf40.customer.c_custkey	N/A	N/A
        └─HashAgg_357	6000000.00	3999929	mpp[tiflash]		tiflash_task:{proc max:4.56s, min:4.55s, avg: 4.55s, p80:4.56s, p95:4.56s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, funcs:sum(Column#109)->Column#92, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_359	6000000.00	7973764	mpp[tiflash]		tiflash_task:{proc max:4.52s, min:4.51s, avg: 4.51s, p80:4.52s, p95:4.52s, iters:512, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 533ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_358	6000000.00	7973764	mpp[tiflash]		tiflash_task:{proc max:4.53s, min:0s, avg: 2.27s, p80:4.53s, p95:4.53s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
