-- Query: 26804
-- SQL: WITH RegionSales AS (
    SELECT r.r_name AS region_name,
           SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales
    FROM region r
    JOIN nation n ON r.r_regionkey = n.n_regionkey
   ...
-- Execution time: 71.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
TopN_330	2.56	4	root		time:1m9.9s, loops:2, RU:154074.932378	Column#67:desc, offset:0, count:10	2.05 KB	0 Bytes
└─HashJoin_335	2.56	4	root		time:1m9.9s, loops:3, build_hash_table:{total:1m9.9s, fetch:1m9.9s, build:13.4µs}, probe:{concurrency:2, total:2m19.8s, max:1m9.9s, probe:19.1µs, fetch and wait:2m19.8s}	CARTESIAN inner join, other cond:gt(Column#67, Column#71)	41.5 KB	0 Bytes
  ├─Selection_341(Build)	0.80	1	root		time:1m9.9s, loops:2	not(isnull(Column#71))	233 Bytes	N/A
  │ └─MaxOneRow_342	1.00	1	root		time:1m9.9s, loops:3		N/A	N/A
  │   └─StreamAgg_347	1.00	1	root		time:1m9.9s, loops:2	funcs:avg(Column#70)->Column#71	2.07 KB	N/A
  │     └─CTEFullScan_353	4.00	5	root	CTE:regionsales	time:1m9.9s, loops:2	data:CTE_0	N/A	N/A
  └─Selection_337(Probe)	3.20	5	root		time:1m9.9s, loops:2	not(isnull(Column#67))	2.02 KB	N/A
    └─CTEFullScan_339	4.00	5	root	CTE:regionsales	time:1m9.9s, loops:3	data:CTE_0	4.05 KB	0 Bytes
CTE_0	4.00	5	root		time:1m9.9s, loops:2	Non-Recursive CTE	N/A	N/A
└─TableReader_325(Seed Part)	4.00	5	root		time:1m9.9s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_324	7.61 KB	N/A
  └─ExchangeSender_324	4.00	5	mpp[tiflash]		tiflash_task:{proc max:1m9.9s, min:1m9.8s, avg: 1m9.9s, p80:1m9.9s, p95:1m9.9s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_61	4.00	5	mpp[tiflash]		tiflash_task:{proc max:1m9.9s, min:1m9.8s, avg: 1m9.9s, p80:1m9.9s, p95:1m9.9s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#54	N/A	N/A
      └─Selection_323	4.00	5	mpp[tiflash]		tiflash_task:{proc max:1m9.9s, min:1m9.8s, avg: 1m9.9s, p80:1m9.9s, p95:1m9.9s, iters:4, tasks:2, threads:4}	or(not(isnull(Column#54)), 1)	N/A	N/A
        └─Projection_317	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m9.9s, min:1m9.8s, avg: 1m9.9s, p80:1m9.9s, p95:1m9.9s, iters:4, tasks:2, threads:4}	Column#54, tpch_sf40.region.r_name	N/A	N/A
          └─HashAgg_318	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m9.9s, min:1m9.8s, avg: 1m9.9s, p80:1m9.9s, p95:1m9.9s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#79)->Column#54, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_320	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m9.9s, min:1m9.8s, avg: 1m9.9s, p80:1m9.9s, p95:1m9.9s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_319	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m9.9s, min:0s, avg: 34.9s, p80:1m9.9s, p95:1m9.9s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_315	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m9.9s, min:0s, avg: 34.9s, p80:1m9.9s, p95:1m9.9s, iters:2, tasks:2, threads:2}	group by:Column#82, funcs:sum(Column#81)->Column#79	N/A	N/A
                  └─Projection_326	978348338.84	960049160	mpp[tiflash]		tiflash_task:{proc max:1m7.3s, min:0s, avg: 33.7s, p80:1m7.3s, p95:1m7.3s, iters:29596, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#81, tpch_sf40.region.r_name->Column#82	N/A	N/A
                    └─Projection_304	978348338.84	960049160	mpp[tiflash]		tiflash_task:{proc max:1m6.7s, min:0s, avg: 33.3s, p80:1m6.7s, p95:1m6.7s, iters:29596, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                      └─HashJoin_303	978348338.84	960049160	mpp[tiflash]		tiflash_task:{proc max:1m6.7s, min:0s, avg: 33.3s, p80:1m6.7s, p95:1m6.7s, iters:29596, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                        ├─ExchangeReceiver_119(Build)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:9.72s, min:0s, avg: 4.86s, p80:9.72s, p95:9.72s, iters:3612, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 236ms}	stream_count: 2	N/A	N/A
                        │ └─ExchangeSender_118	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:10.6s, min:0s, avg: 5.32s, p80:10.6s, p95:10.6s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                        │   └─TableFullScan_117	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{proc max:10.6s, min:0s, avg: 5.29s, p80:10.6s, p95:10.6s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1105ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:21ms, region_balance:{instance_num: 2, max/min: 17/17=1.000000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:2173ms, min_local_stream:9517ms, max_local_stream:10578ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:27406ms}}	keep order:false	N/A	N/A
                        └─ExchangeReceiver_116(Probe)	971506683.68	960049160	mpp[tiflash]		tiflash_task:{proc max:1m0.1s, min:0s, avg: 30.1s, p80:1m0.1s, p95:1m0.1s, iters:29596, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 10632ms, pipeline_queue_wait: 20732ms}		N/A	N/A
                          └─ExchangeSender_115	971506683.68	960049160	mpp[tiflash]		tiflash_task:{proc max:1m9.9s, min:0s, avg: 34.9s, p80:1m9.9s, p95:1m9.9s, iters:18313, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
                            └─Projection_114	971506683.68	960049160	mpp[tiflash]		tiflash_task:{proc max:1m2.7s, min:0s, avg: 31.4s, p80:1m2.7s, p95:1m2.7s, iters:18313, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_partkey	N/A	N/A
                              └─HashJoin_85	971506683.68	960049160	mpp[tiflash]		tiflash_task:{proc max:1m2.7s, min:0s, avg: 31.3s, p80:1m2.7s, p95:1m2.7s, iters:18313, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2	N/A	N/A
                                ├─ExchangeReceiver_110(Build)	32238899.44	32000000	mpp[tiflash]		tiflash_task:{proc max:9.57s, min:0s, avg: 4.78s, p80:9.57s, p95:9.57s, iters:2591, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 678ms}	stream_count: 2	N/A	N/A
                                │ └─ExchangeSender_109	32238899.44	32000000	mpp[tiflash]		tiflash_task:{proc max:9.77s, min:0s, avg: 4.88s, p80:9.77s, p95:9.77s, iters:1016, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
                                │   └─Projection_108	32238899.44	32000000	mpp[tiflash]		tiflash_task:{proc max:9.59s, min:0s, avg: 4.8s, p80:9.59s, p95:9.59s, iters:1016, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_suppkey	N/A	N/A
                                │     └─HashJoin_86	32238899.44	32000000	mpp[tiflash]		tiflash_task:{proc max:9.59s, min:0s, avg: 4.8s, p80:9.59s, p95:9.59s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
                                │       ├─ExchangeReceiver_107(Build)	8000000.00	16000000	mpp[tiflash]		tiflash_task:{proc max:4.27s, min:0s, avg: 2.13s, p80:4.27s, p95:4.27s, iters:252, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 12ms}		N/A	N/A
                                │       │ └─ExchangeSender_106	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:4.61s, min:0s, avg: 2.31s, p80:4.61s, p95:4.61s, iters:126, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                                │       │   └─TableFullScan_105	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:4.61s, min:0s, avg: 2.3s, p80:4.61s, p95:4.61s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 249ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:10ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:631ms, min_local_stream:1695ms, max_local_stream:4598ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:4040ms}}	keep order:false	N/A	N/A
                                │       └─Projection_104(Probe)	32096533.46	32000000	mpp[tiflash]		tiflash_task:{proc max:9.19s, min:0s, avg: 4.6s, p80:9.19s, p95:9.19s, iters:1016, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_suppkey	N/A	N/A
                                │         └─HashJoin_87	32096533.46	32000000	mpp[tiflash]		tiflash_task:{proc max:9.19s, min:0s, avg: 4.6s, p80:9.19s, p95:9.19s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2	N/A	N/A
                                │           ├─ExchangeReceiver_100(Build)	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.19s, min:0s, avg: 1.1s, p80:2.19s, p95:2.19s, iters:28, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 7ms}	stream_count: 2	N/A	N/A
