-- Query: 26805
-- SQL: WITH RankedSuppliers AS (
    SELECT s.s_suppkey, s.s_name, SUM(ps.ps_supplycost * ps.ps_availqty) AS total_cost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey
    GROUP BY s....
-- Execution time: 37.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_161	6060.99	860	root		time:36s, loops:2, RU:75091.110267	tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_custkey	163.4 KB	0 Bytes
└─Projection_163	6060.99	860	root		time:36s, loops:2, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.supplier.s_name, Column#88	165.5 KB	N/A
  └─Projection_164	6060.99	860	root		time:36s, loops:2, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.supplier.s_name, Column#88	165.5 KB	N/A
    └─IndexJoin_170	6060.99	860	root		time:36s, loops:2, inner:{total:187.8ms, concurrency:2, task:1, construct:176.4µs, fetch:187.5ms, build:84µs}, probe:159.2µs	inner join, inner:TableReader_167, outer key:tpch_sf40.orders.o_custkey, inner key:tpch_sf40.customer.c_custkey, equal cond:eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)	242.7 KB	N/A
      ├─IndexJoin_189(Build)	6060.99	860	root		time:35.8s, loops:3, inner:{total:8.62s, concurrency:2, task:2, construct:1.86ms, fetch:8.62s, build:103.3µs}, probe:1.23ms	inner join, inner:TableReader_185, outer key:tpch_sf40.lineitem.l_orderkey, inner key:tpch_sf40.orders.o_orderkey, equal cond:eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey), other cond:gt(tpch_sf40.lineitem.l_shipdate, tpch_sf40.orders.o_orderdate)	744.0 KB	N/A
      │ ├─HashJoin_197(Build)	6018.60	5951	root		time:35.1s, loops:8, build_hash_table:{total:10.6s, fetch:10.6s, build:5.89µs}, probe:{concurrency:2, total:1m10.1s, max:35.1s, probe:6.86s, fetch and wait:1m3.3s}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_suppkey)]	66.0 KB	0 Bytes
      │ │ ├─TopN_200(Build)	10.00	10	root		time:10.6s, loops:2	Column#88:desc, offset:0, count:10	91.2 KB	0 Bytes
      │ │ │ └─Projection_205	204800.00	197035	root		time:10.6s, loops:195, Concurrency:2	Column#88, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name	341 KB	N/A
      │ │ │   └─HashJoin_207	204800.00	197035	root		time:10.5s, loops:195, build_hash_table:{total:10.1s, fetch:10.1s, build:3.28µs}, probe:{concurrency:2, total:21.1s, max:10.6s, probe:160.9ms, fetch and wait:20.9s}	CARTESIAN inner join, other cond:gt(Column#88, Column#99)	41.5 KB	0 Bytes
      │ │ │     ├─Selection_208(Build)	0.80	1	root		time:10.1s, loops:2	not(isnull(Column#99))	233 Bytes	N/A
      │ │ │     │ └─MaxOneRow_209	1.00	1	root		time:10.1s, loops:3		N/A	N/A
      │ │ │     │   └─StreamAgg_214	1.00	1	root		time:10.1s, loops:2	funcs:avg(Column#98)->Column#99	76.1 KB	N/A
      │ │ │     │     └─CTEFullScan_220	319027.20	400000	root	CTE:rankedsuppliers	time:10s, loops:537	data:CTE_0	57.4 MB	0 Bytes
      │ │ │     └─HashJoin_232(Probe)	256000.00	400000	root		time:10.4s, loops:392, build_hash_table:{total:10.1s, fetch:10.1s, build:77.6ms}, probe:{concurrency:2, total:21.1s, max:10.6s, probe:135.8ms, fetch and wait:21s}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	52.4 MB	0 Bytes
      │ │ │       ├─Selection_239(Build)	255221.76	400000	root		time:10.1s, loops:392	not(isnull(Column#88)), not(isnull(tpch_sf40.supplier.s_suppkey))	76.0 KB	N/A
      │ │ │       │ └─CTEFullScan_241	319027.20	400000	root	CTE:rankedsuppliers AS rs	time:10.1s, loops:538	data:CTE_0	N/A	N/A
      │ │ │       └─TableReader_247(Probe)	400000.00	400000	root		time:203.7ms, loops:392, cop_task: {num: 8, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_246	2.13 MB	N/A
      │ │ │         └─ExchangeSender_246	400000.00	400000	mpp[tiflash]		tiflash_task:{time:304.6ms, loops:7, threads:2}	ExchangeType: PassThrough	N/A	N/A
      │ │ │           └─TableFullScan_245	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:304.6ms, loops:7, threads:2}, tiflash_wait: {pipeline_queue_wait: 10ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:10ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:21ms, min_local_stream:283ms, max_local_stream:294ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:265ms}}	keep order:false	N/A	N/A
      │ │ └─TableReader_254(Probe)	240012290.00	240012290	root		time:17.4s, loops:234511, cop_task: {num: 3877, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_253	3.00 MB	N/A
      │ │   └─ExchangeSender_253	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:35s, min:34.3s, avg: 34.6s, p80:35s, p95:35s, iters:3875, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │ │     └─TableFullScan_252	240012290.00	240012290	mpp[tiflash]	table:li	tiflash_task:{proc max:23.3s, min:22.9s, avg: 23.1s, p80:23.3s, p95:23.3s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 91ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:2ms, region_balance:{instance_num: 2, max/min: 90/86=1.046512}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:8ms, tot_build_inputstream:2494ms, min_local_stream:22870ms, max_local_stream:23258ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:8ms, tot_read:94515ms}}	keep order:false	N/A	N/A
      │ └─TableReader_185(Probe)	912.21	860	root		time:8.61s, loops:4, cop_task: {num: 60, max: 4.32s, min: 13ms, avg: 401.3ms, p95: 2.71s, max_proc_keys: 197, p95_proc_keys: 191, tot_proc: 12.8s, tot_wait: 250.1ms, copr_cache_hit_ratio: 0.00, build_task_duration: 1.09ms, max_distsql_concurrency: 2, max_extra_concurrency: 4}, rpc_info:{Cop:{num_rpc:61, total_time:24.1s}, rpc_errors:{server_is_busy:1}}	data:Selection_184	N/A	N/A
      │   └─Selection_184	912.21	860	cop[tikv]		tikv_task:{proc max:4.28s, min:3ms, avg: 382ms, p80:302ms, p95:2.7s, iters:138, tasks:60}, scan_detail: {total_process_keys: 5951, total_process_keys_size: 904833, total_keys: 5951, get_snapshot_time: 141ms, rocksdb: {block: {cache_hit_count: 12201, read_count: 5955, read_byte: 60.6 MB, read_time: 12.4s}}}, time_detail: {total_process_time: 12.8s, total_suspend_time: 10.2s, total_wait_time: 250.1ms, total_kv_read_wall_time: 22.9s, tikv_wall_time: 23.2s}	ge(tpch_sf40.orders.o_orderdate, 1997-01-01 00:00:00.000000), le(tpch_sf40.orders.o_orderdate, 1997-12-31 00:00:00.000000)	N/A	N/A
      │     └─TableRangeScan_183	6018.60	5951	cop[tikv]	table:o	tikv_task:{proc max:4.28s, min:3ms, avg: 382ms, p80:302ms, p95:2.7s, iters:138, tasks:60}	range: decided by [tpch_sf40.lineitem.l_orderkey], keep order:false	N/A	N/A
      └─TableReader_167(Probe)	6060.99	860	root		time:187.3ms, loops:2, cop_task: {num: 5, max: 86.8ms, min: 40.1ms, avg: 66.8ms, p95: 86.8ms, max_proc_keys: 196, p95_proc_keys: 196, tot_proc: 179.5ms, tot_wait: 2.15ms, copr_cache_hit_ratio: 0.00, build_task_duration: 52.5µs, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:5, total_time:333.8ms}}	data:TableRangeScan_166	N/A	N/A
        └─TableRangeScan_166	6060.99	860	cop[tikv]	table:c	tikv_task:{proc max:75ms, min:25ms, avg: 55ms, p80:75ms, p95:75ms, iters:15, tasks:5}, scan_detail: {total_process_keys: 860, total_process_keys_size: 175876, total_keys: 860, get_snapshot_time: 2.11ms, rocksdb: {block: {cache_hit_count: 1843, read_count: 758, read_byte: 8.76 MB, read_time: 157.6ms}}}, time_detail: {total_process_time: 179.5ms, total_suspend_time: 95.4ms, total_wait_time: 2.15ms, total_kv_read_wall_time: 275ms, tikv_wall_time: 277.7ms}	range: decided by [tpch_sf40.orders.o_custkey], keep order:false	N/A	N/A
CTE_0	319027.20	400000	root		time:10s, loops:537	Non-Recursive CTE	57.4 MB	0 Bytes
└─TableReader_152(Seed Part)	319027.20	400000	root		time:10s, loops:537, cop_task: {num: 178, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_151	4.71 MB	N/A
  └─ExchangeSender_151	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10.1s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:516, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_63	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:516, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#13	N/A	N/A
      └─Selection_150	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:516, tasks:2, threads:4}	or(and(1, not(isnull(Column#13))), 1)	N/A	N/A
        └─Projection_144	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:516, tasks:2, threads:4}	Column#13, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name	N/A	N/A
