-- Query: 26813
-- SQL: SELECT 
    n.n_name AS nation_name,
    COUNT(DISTINCT c.c_custkey) AS customer_count,
    SUM(o.o_totalprice) AS total_revenue,
    AVG(l.l_extendedprice) AS avg_lineitem_price,
    MAX(l.l_quantity...
-- Execution time: 12.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_32	1.00	0	root		time:10.9s, loops:1, RU:63641.529714, Concurrency:OFF	tpch_sf40.nation.n_name, Column#59, Column#60, Column#61, Column#62	5.20 KB	N/A
└─TopN_35	1.00	0	root		time:10.9s, loops:1	Column#60:desc, offset:0, count:10	0 Bytes	0 Bytes
  └─TableReader_294	1.00	0	root		time:10.9s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_293	6.91 KB	N/A
    └─ExchangeSender_293	1.00	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:10.9s, avg: 10.9s, p80:10.9s, p95:10.9s, iters:0, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Projection_289	1.00	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:10.9s, avg: 10.9s, p80:10.9s, p95:10.9s, iters:0, tasks:2, threads:4}	Column#59, Column#60, div(Column#61, cast(case(eq(Column#67, 0), 1, Column#67), decimal(20,0) BINARY))->Column#61, Column#62, tpch_sf40.nation.n_name	N/A	N/A
        └─HashAgg_290	1.00	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:10.9s, avg: 10.9s, p80:10.9s, p95:10.9s, iters:0, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#59, funcs:sum(Column#68)->Column#60, funcs:sum(Column#69)->Column#67, funcs:sum(Column#70)->Column#61, funcs:max(Column#71)->Column#62, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_292	1.00	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:10.9s, avg: 10.9s, p80:10.9s, p95:10.9s, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            └─ExchangeSender_291	1.00	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:0s, avg: 5.44s, p80:10.9s, p95:10.9s, iters:0, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_42	1.00	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:0s, avg: 5.44s, p80:10.9s, p95:10.9s, iters:0, tasks:2, threads:2}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.nation.n_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#68, funcs:count(tpch_sf40.lineitem.l_extendedprice)->Column#69, funcs:sum(tpch_sf40.lineitem.l_extendedprice)->Column#70, funcs:max(tpch_sf40.lineitem.l_quantity)->Column#71	N/A	N/A
                └─Projection_288	24458709.24	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:0s, avg: 5.44s, p80:10.9s, p95:10.9s, iters:0, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_orderkey	N/A	N/A
                  └─HashJoin_287	24458709.24	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:0s, avg: 5.44s, p80:10.9s, p95:10.9s, iters:0, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
                    ├─ExchangeReceiver_92(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{proc max:5.02s, min:0s, avg: 2.51s, p80:5.02s, p95:5.02s, iters:190, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2ms}		N/A	N/A
                    │ └─ExchangeSender_91	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:5.33s, min:0s, avg: 2.67s, p80:5.33s, p95:5.33s, iters:95, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                    │   └─TableFullScan_90	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:5.33s, min:0s, avg: 2.66s, p80:5.33s, p95:5.33s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 82ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:584ms, min_local_stream:0ms, max_local_stream:5326ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:3254ms}}	keep order:false	N/A	N/A
                    └─Projection_89(Probe)	24458709.24	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:0s, avg: 5.43s, p80:10.9s, p95:10.9s, iters:1874, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.orders.o_custkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderkey	N/A	N/A
                      └─HashJoin_57	24458709.24	0	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:0s, avg: 5.43s, p80:10.9s, p95:10.9s, iters:1874, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                        ├─ExchangeReceiver_85(Build)	24287667.85	0	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.18s, p80:10.4s, p95:10.4s, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
                        │ └─ExchangeSender_84	24287667.85	0	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.18s, p80:10.4s, p95:10.4s, iters:3543, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary], stream_count: 2	N/A	N/A
                        │   └─Projection_83	24287667.85	0	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.18s, p80:10.4s, p95:10.4s, iters:3543, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_partkey	N/A	N/A
                        │     └─HashJoin_58	24287667.85	0	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.18s, p80:10.4s, p95:10.4s, iters:3543, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2	N/A	N/A
                        │       ├─ExchangeReceiver_78(Build)	805972.51	0	mpp[tiflash]		tiflash_task:{proc max:6.04s, min:0s, avg: 3.02s, p80:6.04s, p95:6.04s, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
                        │       │ └─ExchangeSender_77	805972.51	0	mpp[tiflash]		tiflash_task:{proc max:6.04s, min:0s, avg: 3.02s, p80:6.04s, p95:6.04s, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
                        │       │   └─Projection_76	805972.51	0	mpp[tiflash]		tiflash_task:{proc max:6.04s, min:0s, avg: 3.02s, p80:6.04s, p95:6.04s, iters:126, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.part.p_partkey	N/A	N/A
                        │       │     └─HashJoin_60	805972.51	0	mpp[tiflash]		tiflash_task:{proc max:6.04s, min:0s, avg: 3.02s, p80:6.04s, p95:6.04s, iters:126, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
                        │       │       ├─ExchangeReceiver_74(Build)	802413.34	0	mpp[tiflash]		tiflash_task:{proc max:6s, min:0s, avg: 3s, p80:6s, p95:6s, iters:0, tasks:2, threads:4}		N/A	N/A
                        │       │       │ └─ExchangeSender_73	802413.34	0	mpp[tiflash]		tiflash_task:{proc max:6s, min:0s, avg: 3s, p80:6s, p95:6s, iters:509, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                        │       │       │   └─Projection_72	802413.34	0	mpp[tiflash]		tiflash_task:{proc max:6s, min:0s, avg: 3s, p80:6s, p95:6s, iters:509, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.partsupp.ps_partkey	N/A	N/A
                        │       │       │     └─HashJoin_61	802413.34	0	mpp[tiflash]		tiflash_task:{proc max:6s, min:0s, avg: 3s, p80:6s, p95:6s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
                        │       │       │       ├─ExchangeReceiver_70(Build)	9999.68	0	mpp[tiflash]		tiflash_task:{proc max:2.08s, min:0s, avg: 1.04s, p80:2.08s, p95:2.08s, iters:0, tasks:2, threads:4}		N/A	N/A
                        │       │       │       │ └─ExchangeSender_69	9999.68	0	mpp[tiflash]		tiflash_task:{proc max:2.08s, min:0s, avg: 1.04s, p80:2.08s, p95:2.08s, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                        │       │       │       │   └─Projection_68	9999.68	0	mpp[tiflash]		tiflash_task:{proc max:2.08s, min:0s, avg: 1.04s, p80:2.08s, p95:2.08s, iters:7, tasks:2, threads:2}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
                        │       │       │       │     └─HashJoin_62	9999.68	0	mpp[tiflash]		tiflash_task:{proc max:2.08s, min:0s, avg: 1.04s, p80:2.08s, p95:2.08s, iters:7, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
                        │       │       │       │       ├─ExchangeReceiver_66(Build)	0.62	0	mpp[tiflash]		tiflash_task:{proc max:100.9ms, min:0s, avg: 50.5ms, p80:100.9ms, p95:100.9ms, iters:0, tasks:2, threads:2}		N/A	N/A
                        │       │       │       │       │ └─ExchangeSender_65	0.62	0	mpp[tiflash]		tiflash_task:{proc max:97.1ms, min:0s, avg: 48.6ms, p80:97.1ms, p95:97.1ms, iters:0, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                        │       │       │       │       │   └─Selection_64	0.62	0	mpp[tiflash]		tiflash_task:{proc max:97.1ms, min:0s, avg: 48.6ms, p80:97.1ms, p95:97.1ms, iters:0, tasks:2, threads:2}	like(tpch_sf40.nation.n_name, "N%", 92)	N/A	N/A
                        │       │       │       │       │     └─TableFullScan_63	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:97.1ms, min:0s, avg: 48.6ms, p80:97.1ms, p95:97.1ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:94ms, min_local_stream:0ms, max_local_stream:96ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	pushed down filter:empty, keep order:false, stats:partial[n_name:allEvicted]	N/A	N/A
                        │       │       │       │       └─TableFullScan_67(Probe)	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:2.07s, min:0s, avg: 1.04s, p80:2.07s, p95:2.07s, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 99ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:152ms, min_local_stream:0ms, max_local_stream:2073ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:420ms}}	keep order:false	N/A	N/A
                        │       │       │       └─TableFullScan_71(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:5.95s, min:0s, avg: 2.97s, p80:5.95s, p95:5.95s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 2060ms, pipeline_queue_wait: 139ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:14ms, region_balance:{instance_num: 2, max/min: 13/9=1.444444}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:823ms, min_local_stream:0ms, max_local_stream:5944ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:8063ms}}	keep order:false	N/A	N/A
                        │       │       └─TableFullScan_75(Probe)	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:6.03s, min:0s, avg: 3.02s, p80:6.03s, p95:6.03s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 5998ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:4ms, min_local_stream:0ms, max_local_stream:6031ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:59ms}}	keep order:false	N/A	N/A
                        │       └─ExchangeReceiver_82(Probe)	36383496.70	36440216	mpp[tiflash]		tiflash_task:{proc max:10.3s, min:0s, avg: 5.15s, p80:10.3s, p95:10.3s, iters:3543, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 6034ms, pipeline_queue_wait: 37ms}		N/A	N/A
                        │         └─ExchangeSender_81	36383496.70	36440216	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:0s, avg: 5.18s, p80:10.4s, p95:10.4s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary]	N/A	N/A
                        │           └─TableFullScan_79	36383496.70	36440216	mpp[tiflash]	table:l	tiflash_task:{proc max:9.99s, min:0s, avg: 4.99s, p80:9.99s, p95:9.99s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 192ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:24ms, region_balance:{instance_num: 2, max/min: 90/86=1.046512}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:10ms, tot_build_inputstream:1174ms, min_local_stream:0ms, max_local_stream:9974ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:240012290, lm_filter_skipped_rows:0, tot_rs_index_check:15ms, tot_read:34232ms}}	pushed down filter:ge(tpch_sf40.lineitem.l_shipdate, 1997-01-01 00:00:00.000000), le(tpch_sf40.lineitem.l_shipdate, 1997-12-31 00:00:00.000000), keep order:false	N/A	N/A
                        └─ExchangeReceiver_88(Probe)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:10.8s, min:0s, avg: 5.4s, p80:10.8s, p95:10.8s, iters:1874, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 10352ms, pipeline_queue_wait: 108ms}		N/A	N/A
                          └─ExchangeSender_87	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:10.9s, min:0s, avg: 5.43s, p80:10.9s, p95:10.9s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary]	N/A	N/A
                            └─TableFullScan_86	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{proc max:4.64s, min:0s, avg: 2.32s, p80:4.64s, p95:4.64s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 49ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:13ms, region_balance:{instance_num: 2, max/min: 17/17=1.000000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:762ms, min_local_stream:0ms, max_local_stream:4635ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:15437ms}}	keep order:false	N/A	N/A
