-- Query: 26823
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        RANK() OVER (PARTITION BY p.p_brand ORDER BY S...
-- Execution time: 16.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_67	25.00	0	root		time:14.5s, loops:1, RU:22207.981776	tpch_sf40.region.r_name, Column#97:desc	0 Bytes	0 Bytes
└─TableReader_282	25.00	0	root		time:14.5s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_281	6.00 KB	N/A
  └─ExchangeSender_281	25.00	0	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14s, avg: 14.2s, p80:14.5s, p95:14.5s, iters:25, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_70	25.00	0	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14s, avg: 14.2s, p80:14.5s, p95:14.5s, iters:25, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, Column#97	N/A	N/A
      └─Projection_280	25.00	0	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14s, avg: 14.2s, p80:14.5s, p95:14.5s, iters:25, tasks:2, threads:4}	tpch_sf40.supplier.s_name, Column#97, Column#97, tpch_sf40.region.r_name	N/A	N/A
        └─Projection_277	25.00	0	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14s, avg: 14.2s, p80:14.5s, p95:14.5s, iters:25, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#97, tpch_sf40.supplier.s_name, tpch_sf40.part.p_brand	N/A	N/A
          └─HashJoin_276	25.00	0	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14s, avg: 14.2s, p80:14.5s, p95:14.5s, iters:25, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
            ├─ExchangeReceiver_83(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:225.3ms, min:222.4ms, avg: 223.9ms, p80:225.3ms, p95:225.3ms, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}		N/A	N/A
            │ └─ExchangeSender_82	25.00	25	mpp[tiflash]		tiflash_task:{proc max:223ms, min:0s, avg: 111.5ms, p80:223ms, p95:223ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │   └─Projection_81	25.00	25	mpp[tiflash]		tiflash_task:{proc max:223ms, min:0s, avg: 111.5ms, p80:223ms, p95:223ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey	N/A	N/A
            │     └─HashJoin_76	25.00	25	mpp[tiflash]		tiflash_task:{proc max:223ms, min:0s, avg: 111.5ms, p80:223ms, p95:223ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
            │       ├─ExchangeReceiver_79(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:100ms, min:0s, avg: 50ms, p80:100ms, p95:100ms, iters:1, tasks:2, threads:2}		N/A	N/A
            │       │ └─ExchangeSender_78	5.00	5	mpp[tiflash]		tiflash_task:{proc max:99.9ms, min:0s, avg: 49.9ms, p80:99.9ms, p95:99.9ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │       │   └─TableFullScan_77	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:99.9ms, min:0s, avg: 49.9ms, p80:99.9ms, p95:99.9ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:98ms, min_local_stream:99ms, max_local_stream:99ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
            │       └─TableFullScan_80(Probe)	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:223ms, min:0s, avg: 111.5ms, p80:223ms, p95:223ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 99ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:121ms, min_local_stream:222ms, max_local_stream:222ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
            └─Selection_84(Probe)	319027.20	125	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14s, avg: 14.2s, p80:14.5s, p95:14.5s, iters:25, tasks:2, threads:4}	le(Column#99, 5), stream_count: 2	N/A	N/A
              └─Window_85	398784.00	9618511	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14s, avg: 14.2s, p80:14.5s, p95:14.5s, iters:149, tasks:2, threads:4}	rank()->Column#99 over(partition by tpch_sf40.part.p_brand order by Column#97 desc), stream_count: 2	N/A	N/A
                └─Sort_115	398784.00	9618511	mpp[tiflash]		tiflash_task:{proc max:14.4s, min:13.9s, avg: 14.2s, p80:14.4s, p95:14.4s, iters:149, tasks:2, threads:4}	tpch_sf40.part.p_brand, Column#97:desc, stream_count: 2	N/A	N/A
                  └─ExchangeReceiver_114	398784.00	9618511	mpp[tiflash]		tiflash_task:{proc max:12.7s, min:12.5s, avg: 12.6s, p80:12.7s, p95:12.7s, iters:939, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 225ms, pipeline_queue_wait: 307ms}	stream_count: 2	N/A	N/A
                    └─ExchangeSender_113	398784.00	9618511	mpp[tiflash]		tiflash_task:{proc max:13.1s, min:0s, avg: 6.57s, p80:13.1s, p95:13.1s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_brand, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                      └─Projection_109	398784.00	9618511	mpp[tiflash]		tiflash_task:{proc max:13s, min:0s, avg: 6.51s, p80:13s, p95:13s, iters:1024, tasks:2, threads:4}	Column#97, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.part.p_brand	N/A	N/A
                        └─HashAgg_110	398784.00	9618511	mpp[tiflash]		tiflash_task:{proc max:13s, min:0s, avg: 6.51s, p80:13s, p95:13s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.part.p_brand, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#111)->Column#97, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.part.p_brand)->tpch_sf40.part.p_brand, stream_count: 2	N/A	N/A
                          └─ExchangeReceiver_112	398784.00	16022315	mpp[tiflash]		tiflash_task:{proc max:12.5s, min:0s, avg: 6.24s, p80:12.5s, p95:12.5s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1815ms}	stream_count: 2	N/A	N/A
                            └─ExchangeSender_111	398784.00	16022315	mpp[tiflash]		tiflash_task:{proc max:12s, min:0s, avg: 6.01s, p80:12s, p95:12s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.part.p_brand, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                              └─HashAgg_87	398784.00	16022315	mpp[tiflash]		tiflash_task:{proc max:11.8s, min:0s, avg: 5.89s, p80:11.8s, p95:11.8s, iters:512, tasks:2, threads:4}	group by:Column#124, Column#125, Column#126, funcs:sum(Column#123)->Column#111	N/A	N/A
                                └─Projection_288	32239946.23	32000000	mpp[tiflash]		tiflash_task:{proc max:8.15s, min:0s, avg: 4.08s, p80:8.15s, p95:8.15s, iters:1016, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#123, tpch_sf40.supplier.s_suppkey->Column#124, tpch_sf40.supplier.s_name->Column#125, tpch_sf40.part.p_brand->Column#126	N/A	N/A
                                  └─Projection_108	32239946.23	32000000	mpp[tiflash]		tiflash_task:{proc max:8.12s, min:0s, avg: 4.06s, p80:8.12s, p95:8.12s, iters:1016, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.part.p_brand, tpch_sf40.partsupp.ps_partkey	N/A	N/A
                                    └─HashJoin_107	32239946.23	32000000	mpp[tiflash]		tiflash_task:{proc max:8.12s, min:0s, avg: 4.06s, p80:8.12s, p95:8.12s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)], stream_count: 2	N/A	N/A
                                      ├─ExchangeReceiver_99(Build)	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:2.53s, min:0s, avg: 1.26s, p80:2.53s, p95:2.53s, iters:482, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 24ms}	stream_count: 2	N/A	N/A
                                      │ └─ExchangeSender_98	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:2.62s, min:0s, avg: 1.31s, p80:2.62s, p95:2.62s, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
                                      │   └─TableFullScan_97	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:2.59s, min:0s, avg: 1.29s, p80:2.59s, p95:2.59s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 24ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1034ms, min_local_stream:1768ms, max_local_stream:2587ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:7158ms}}	keep order:false	N/A	N/A
                                      └─ExchangeReceiver_96(Probe)	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:7.71s, min:0s, avg: 3.85s, p80:7.71s, p95:7.71s, iters:1016, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 2619ms, pipeline_queue_wait: 393ms}		N/A	N/A
                                        └─ExchangeSender_95	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:10.5s, min:0s, avg: 5.27s, p80:10.5s, p95:10.5s, iters:509, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary]	N/A	N/A
                                          └─Projection_94	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:10.3s, min:0s, avg: 5.15s, p80:10.3s, p95:10.3s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
                                            └─HashJoin_89	32097575.63	32000000	mpp[tiflash]		tiflash_task:{proc max:10.3s, min:0s, avg: 5.15s, p80:10.3s, p95:10.3s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
                                              ├─ExchangeReceiver_92(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:460.3ms, min:0s, avg: 230.1ms, p80:460.3ms, p95:460.3ms, iters:12, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2ms}		N/A	N/A
                                              │ └─ExchangeSender_91	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:463.9ms, min:0s, avg: 231.9ms, p80:463.9ms, p95:463.9ms, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                                              │   └─TableFullScan_90	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:459.9ms, min:0s, avg: 229.9ms, p80:459.9ms, p95:459.9ms, iters:7, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:84ms, min_local_stream:457ms, max_local_stream:459ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:376ms}}	keep order:false	N/A	N/A
                                              └─TableFullScan_93(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:9.81s, min:0s, avg: 4.9s, p80:9.81s, p95:9.81s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 469ms, pipeline_queue_wait: 757ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 11/11=1.000000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1443ms, min_local_stream:9700ms, max_local_stream:9798ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:36419ms}}	keep order:false	N/A	N/A
