query_order,qid,arrival_time_s,round
0,22566,0.000,1
1,26025,11.442,1
2,25791,18.119,1
3,13808,22.668,1
4,15077,33.454,1
5,26508,43.770,1
6,9990,45.327,1
7,25914,105.030,1
8,26736,114.539,1
9,25300,142.003,1
10,25343,178.862,1
11,25409,185.809,1
12,5066,193.824,1
13,25486,206.225,1
14,6523,209.976,1
15,15092,212.342,1
16,12960,216.874,1
17,11555,257.819,1
18,26352,270.801,1
19,11499,278.910,1
20,15150,281.390,1
21,25832,287.394,1
22,14075,294.561,1
23,5957,321.440,1
24,25344,331.816,1
25,13814,347.762,1
26,8194,365.083,1
27,11333,369.545,1
28,25993,395.400,1
29,25454,446.347,1
30,7083,461.743,1
31,26022,471.861,1
32,11844,474.624,1
33,10543,498.393,1
34,26494,501.175,1
35,26414,520.286,1
36,14203,530.337,1
37,3924,567.652,1
38,26752,579.370,1
39,25753,594.770,1
40,25445,595.678,1
41,26327,596.194,1
42,11778,624.325,1
43,11831,667.882,1
44,7488,684.431,1
45,15348,706.112,1
46,15078,714.087,1
47,26030,741.816,1
48,26522,745.765,1
49,7886,764.187,1
50,25324,764.325,1
51,25871,774.895,1
52,15022,781.902,1
53,14569,796.331,1
54,12340,812.814,1
55,9000,827.191,1
56,14342,837.092,1
57,21454,847.130,1
58,7660,847.229,1
59,26324,859.262,1
60,25635,859.440,1
61,6531,870.747,1
62,25494,875.566,1
63,5765,932.465,1
64,3955,932.725,1
65,12381,957.887,1
66,18032,974.701,1
67,26040,999.313,1
68,26038,1035.394,1
69,4601,1037.092,1
70,25462,1038.611,1
71,13597,1041.030,1
72,16494,1044.226,1
73,25441,1055.439,1
74,25251,1080.767,1
75,10601,1085.433,1
76,25315,1093.018,1
77,26245,1100.021,1
78,25259,1107.835,1
79,15792,1120.321,1
80,14018,1189.753,1
81,24380,1193.593,1
82,10538,1210.875,1
83,15474,1239.120,1
84,16171,1255.028,1
85,26263,1284.330,1
86,26243,1305.711,1
87,26728,1307.184,1
88,22624,1314.336,1
89,25079,1326.404,1
90,25856,1327.271,1
91,25739,1327.413,1
92,17597,1330.233,1
93,17987,1340.626,1
94,8139,1349.161,1
95,12050,1372.174,1
96,16119,1384.690,1
97,25518,1413.965,1
98,10319,1415.468,1
99,25804,1426.735,1
100,25510,1427.387,1
101,26670,1430.950,1
102,7974,1461.337,1
103,10300,1494.117,1
104,15243,1503.796,1
105,13458,1504.511,1
106,9593,1505.670,1
107,19667,1544.642,1
108,25838,1579.078,1
109,13063,1591.512,1
110,26806,1592.014,1
