new_id	source_id
25267	6
25268	12
25269	18
25270	20
25271	21
25272	24
25273	28
25274	29
25275	40
25276	45
25277	67
25278	74
25279	79
25280	90
25281	92
25282	97
25283	103
25284	114
25285	119
25286	123
25287	127
25288	129
25289	131
25290	133
25291	140
25292	152
25293	154
25294	156
25295	163
25296	164
25297	169
25298	171
25299	174
25300	182
25301	183
25302	191
25303	201
25304	205
25305	222
25306	224
25307	229
25308	230
25309	231
25310	237
25311	242
25312	244
25313	248
25314	276
25315	278
25316	279
25317	285
25318	286
25319	287
25320	290
25321	302
25322	310
25323	313
25324	326
25325	328
25326	331
25327	337
25328	341
25329	342
25330	349
25331	350
25332	351
25333	355
25334	358
25335	359
25336	362
25337	363
25338	364
25339	365
25340	369
25341	373
25342	375
25343	376
25344	377
25345	382
25346	387
25347	392
25348	394
25349	397
25350	407
25351	408
25352	417
25353	419
25354	423
25355	426
25356	437
25357	443
25358	446
25359	452
25360	457
25361	468
25362	469
25363	473
25364	478
25365	480
25366	481
25367	482
25368	484
25369	486
25370	487
25371	498
25372	500
25373	504
25374	505
25375	506
25376	515
25377	534
25378	541
25379	553
25380	556
25381	557
25382	559
25383	561
25384	568
25385	578
25386	581
25387	582
25388	588
25389	590
25390	592
25391	598
25392	601
25393	603
25394	615
25395	616
25396	617
25397	622
25398	636
25399	643
25400	646
25401	650
25402	653
25403	656
25404	660
25405	662
25406	671
25407	677
25408	679
25409	687
25410	695
25411	702
25412	703
25413	718
25414	724
25415	730
25416	741
25417	742
25418	749
25419	755
25420	763
25421	776
25422	777
25423	781
25424	783
25425	784
25426	786
25427	791
25428	793
25429	796
25430	798
25431	825
25432	827
25433	828
25434	831
25435	834
25436	837
25437	845
25438	848
25439	850
25440	852
25441	869
25442	870
25443	871
25444	883
25445	891
25446	897
25447	908
25448	913
25449	916
25450	922
25451	923
25452	924
25453	928
25454	929
25455	934
25456	938
25457	945
25458	948
25459	956
25460	958
25461	960
25462	962
25463	964
25464	970
25465	972
25466	984
25467	986
25468	999
25469	1008
25470	1013
25471	1019
25472	1023
25473	1027
25474	1033
25475	1035
25476	1040
25477	1046
25478	1054
25479	1059
25480	1062
25481	1072
25482	1080
25483	1085
25484	1090
25485	1093
25486	1098
25487	1102
25488	1106
25489	1110
25490	1113
25491	1126
25492	1130
25493	1132
25494	1135
25495	1143
25496	1144
25497	1154
25498	1156
25499	1159
25500	1161
25501	1168
25502	1172
25503	1174
25504	1177
25505	1188
25506	1197
25507	1198
25508	1201
25509	1202
25510	1206
25511	1211
25512	1219
25513	1221
25514	1228
25515	1231
25516	1232
25517	1237
25518	1243
25519	1249
25520	1261
25521	1269
25522	1273
25523	1276
25524	1277
25525	1286
25526	1298
25527	1303
25528	1308
25529	1314
25530	1315
25531	1318
25532	1324
25533	1325
25534	1327
25535	1332
25536	1335
25537	1337
25538	1338
25539	1341
25540	1343
25541	1344
25542	1345
25543	1346
25544	1349
25545	1350
25546	1363
25547	1364
25548	1371
25549	1374
25550	1375
25551	1378
25552	1382
25553	1384
25554	1397
25555	1403
25556	1409
25557	1413
25558	1414
25559	1418
25560	1426
25561	1428
25562	1429
25563	1440
25564	1441
25565	1444
25566	1446
25567	1451
25568	1453
25569	1454
25570	1458
25571	1460
25572	1465
25573	1469
25574	1474
25575	1481
25576	1486
25577	1490
25578	1491
25579	1503
25580	1504
25581	1516
25582	1517
25583	1535
25584	1541
25585	1543
25586	1546
25587	1547
25588	1553
25589	1558
25590	1563
25591	1566
25592	1567
25593	1569
25594	1574
25595	1587
25596	1589
25597	1593
25598	1608
25599	1609
25600	1623
25601	1629
25602	1632
25603	1633
25604	1638
25605	1640
25606	1641
25607	1644
25608	1645
25609	1649
25610	1652
25611	1654
25612	1655
25613	1661
25614	1664
25615	1669
25616	1671
25617	1677
25618	1678
25619	1683
25620	1685
25621	1687
25622	1688
25623	1691
25624	1693
25625	1706
25626	1710
25627	1715
25628	1720
25629	1721
25630	1726
25631	1727
25632	1731
25633	1732
25634	1756
25635	1758
25636	1761
25637	1762
25638	1767
25639	1771
25640	1775
25641	1778
25642	1781
25643	1788
25644	1797
25645	1800
25646	1802
25647	1814
25648	1816
25649	1817
25650	1829
25651	1833
25652	1838
25653	1843
25654	1850
25655	1851
25656	1854
25657	1859
25658	1860
25659	1862
25660	1864
25661	1866
25662	1868
25663	1869
25664	1871
25665	1873
25666	1876
25667	1879
25668	1880
25669	1887
25670	1898
25671	1906
25672	1921
25673	1933
25674	1938
25675	1941
25676	1944
25677	1945
25678	1946
25679	1957
25680	1960
25681	1964
25682	1965
25683	1966
25684	1971
25685	1979
25686	1984
25687	1988
25688	1990
25689	1999
25690	2001
25691	2002
25692	2008
25693	2009
25694	2011
25695	2018
25696	2020
25697	2023
25698	2028
25699	2034
25700	2049
25701	2053
25702	2060
25703	2066
25704	2069
25705	2071
25706	2072
25707	2081
25708	2082
25709	2089
25710	2090
25711	2092
25712	2101
25713	2103
25714	2108
25715	2111
25716	2112
25717	2115
25718	2118
25719	2120
25720	2130
25721	2134
25722	2141
25723	2149
25724	2156
25725	2161
25726	2168
25727	2174
25728	2182
25729	2186
25730	2190
25731	2193
25732	2194
25733	2196
25734	2198
25735	2201
25736	2202
25737	2208
25738	2209
25739	2215
25740	2222
25741	2225
25742	2227
25743	2241
25744	2248
25745	2249
25746	2250
25747	2252
25748	2254
25749	2261
25750	2262
25751	2263
25752	2265
25753	2270
25754	2272
25755	2278
25756	2281
25757	2284
25758	2288
25759	2289
25760	2291
25761	2293
25762	2294
25763	2298
25764	2301
25765	2329
25766	2332
25767	2333
25768	2345
25769	2348
25770	2350
25771	2354
25772	2356
25773	2363
25774	2364
25775	2367
25776	2368
25777	2375
25778	2382
25779	2383
25780	2387
25781	2396
25782	2404
25783	2405
25784	2408
25785	2417
25786	2428
25787	2431
25788	2442
25789	2446
25790	2450
25791	2451
25792	2456
25793	2458
25794	2461
25795	2477
25796	2480
25797	2498
25798	2503
